timestamp,plant_id,plant_type,power_output_mw,capacity_mw,irradiance_wm2,wind_speed_ms,temperature_c,cloud_cover_pct,grid_demand_mw,co2_saved_kg
2025-06-01 00:00:00,SOLAR_MUNICH_01,solar,0.016,5.0,0.0,3.96,25.0,54.8,2.565,13.1
2025-06-01 01:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,6.82,23.6,23.6,2.275,0.0
2025-06-01 02:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,5.78,18.0,55.7,1.792,0.0
2025-06-01 03:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,16.69,18.2,14.8,2.274,0.0
2025-06-01 04:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,6.38,14.8,74.1,2.154,0.0
2025-06-01 05:00:00,SOLAR_MUNICH_01,solar,0.078,5.0,6.6,15.4,10.4,13.6,2.219,64.2
2025-06-01 06:00:00,SOLAR_MUNICH_01,solar,0.596,5.0,113.5,6.59,12.5,19.2,2.262,488.5
2025-06-01 07:00:00,SOLAR_MUNICH_01,solar,0.965,5.0,175.9,7.33,13.5,42.9,2.379,791.2
2025-06-01 08:00:00,SOLAR_MUNICH_01,solar,2.051,5.0,384.6,4.86,9.6,34.7,2.964,1682.2
2025-06-01 09:00:00,SOLAR_MUNICH_01,solar,3.071,5.0,586.9,3.43,15.4,1.3,3.173,2518.2
2025-06-01 10:00:00,SOLAR_MUNICH_01,solar,1.755,5.0,328.4,6.68,13.8,69.7,3.326,1439.4
2025-06-01 11:00:00,SOLAR_MUNICH_01,solar,3.216,5.0,628.7,6.95,15.4,28.2,3.785,2637.2
2025-06-01 12:00:00,SOLAR_MUNICH_01,solar,3.0,5.0,586.6,4.86,16.5,42.1,4.424,2459.6
2025-06-01 13:00:00,SOLAR_MUNICH_01,solar,2.684,5.0,535.9,8.63,18.3,44.3,3.978,2200.9
2025-06-01 14:00:00,SOLAR_MUNICH_01,solar,3.333,5.0,678.0,18.48,24.9,31.0,4.232,2733.2
2025-06-01 15:00:00,SOLAR_MUNICH_01,solar,1.332,5.0,253.5,4.46,20.3,81.3,3.99,1091.9
2025-06-01 16:00:00,SOLAR_MUNICH_01,solar,3.491,5.0,695.6,10.67,23.0,11.4,3.623,2862.4
2025-06-01 17:00:00,SOLAR_MUNICH_01,solar,1.2,5.0,242.1,8.95,25.0,72.5,3.774,984.2
2025-06-01 18:00:00,SOLAR_MUNICH_01,solar,1.934,5.0,378.6,13.81,28.5,33.6,3.573,1586.0
2025-06-01 19:00:00,SOLAR_MUNICH_01,solar,0.68,5.0,147.8,10.93,26.3,60.7,3.528,557.3
2025-06-01 20:00:00,SOLAR_MUNICH_01,solar,0.773,5.0,158.9,6.44,28.8,29.4,2.979,634.1
2025-06-01 21:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,1.3,6.59,30.6,11.8,2.644,0.0
2025-06-01 22:00:00,SOLAR_MUNICH_01,solar,0.052,5.0,0.0,6.72,28.4,48.0,2.362,42.9
2025-06-01 23:00:00,SOLAR_MUNICH_01,solar,0.088,5.0,0.0,9.82,26.1,11.9,2.271,72.3
2025-06-02 00:00:00,SOLAR_MUNICH_01,solar,0.045,5.0,0.0,7.34,21.7,37.1,2.28,37.1
2025-06-02 01:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,7.14,23.1,46.6,2.27,0.0
2025-06-02 02:00:00,SOLAR_MUNICH_01,solar,0.0,5.0,0.0,3.56,19.9,21.3,2.032,0.0
2025-06-02 03:00:00,SOLAR_MUNICH_01,solar,0.002,5.0,0.0,4.39,17.3,61.5,2.145,1.9
2025-06-02 04:00:00,SOLAR_MUNICH_01,solar,0.009,5.0,0.0,6.5,18.7,84.7,2.229,7.6
2025-06-02 05:00:00,SOLAR_MUNICH_01,solar,0.046,5.0,0.0,10.96,17.7,36.8,2.765,37.6
2025-06-02 06:00:00,SOLAR_MUNICH_01,solar,0.96,5.0,179.6,11.53,16.4,6.4,2.894,787.0
2025-06-02 07:00:00,SOLAR_MUNICH_01,solar,1.489,5.0,284.0,9.82,10.4,16.4,3.207,1220.9
2025-06-02 08:00:00,SOLAR_MUNICH_01,solar,1.837,5.0,362.2,10.11,16.7,33.6,2.931,1506.4
2025-06-02 09:00:00,SOLAR_MUNICH_01,solar,2.984,5.0,585.1,7.59,14.8,11.3,4.076,2446.5
2025-06-02 10:00:00,SOLAR_MUNICH_01,solar,3.019,5.0,575.3,13.59,12.1,31.7,4.266,2475.4
2025-06-02 11:00:00,SOLAR_MUNICH_01,solar,3.657,5.0,695.2,15.07,12.9,18.7,4.226,2998.6
2025-06-02 12:00:00,SOLAR_MUNICH_01,solar,3.542,5.0,692.1,14.02,16.5,27.2,5.113,2904.3
2025-06-02 13:00:00,SOLAR_MUNICH_01,solar,4.258,5.0,832.9,11.45,20.1,11.4,4.449,3491.4
2025-06-02 14:00:00,SOLAR_MUNICH_01,solar,2.516,5.0,499.9,4.37,20.0,57.6,4.761,2062.9
2025-06-02 15:00:00,SOLAR_MUNICH_01,solar,3.109,5.0,621.2,18.53,21.1,28.3,5.067,2549.1
2025-06-02 16:00:00,SOLAR_MUNICH_01,solar,1.73,5.0,333.0,3.93,24.6,66.6,4.77,1418.9
2025-06-02 17:00:00,SOLAR_MUNICH_01,solar,1.897,5.0,379.1,2.88,25.4,51.1,4.644,1555.3
2025-06-02 18:00:00,SOLAR_MUNICH_01,solar,2.413,5.0,473.6,8.23,27.1,9.3,4.645,1978.7
2025-06-02 19:00:00,SOLAR_MUNICH_01,solar,1.033,5.0,230.7,9.49,32.1,25.5,3.919,847.2
2025-06-02 20:00:00,SOLAR_MUNICH_01,solar,0.822,5.0,165.8,15.14,26.2,36.9,3.415,674.4
