household_id,building_type,heating_type,has_solar_panels,has_electric_vehicle,n_residents,area_sqm,smart_meter_installed,monthly_consumption_kwh,energy_poverty_flag
HH_0001,Saniert,Wärmepumpe,1,0,2,77,1,202.5,0
HH_0002,Saniert,Ölheizung,0,0,2,77,0,394.5,0
HH_0003,Passivhaus,Wärmepumpe,0,0,4,77,1,156.8,0
HH_0004,Altbau,Gasheizung,0,1,1,77,1,567.8,0
HH_0005,Altbau,Gasheizung,1,0,2,77,1,389.5,0
HH_0006,Saniert,Gasheizung,0,0,2,77,1,293.7,0
HH_0007,Saniert,Gasheizung,0,0,2,77,0,303.9,0
HH_0008,Neubau,Gasheizung,1,0,3,77,0,391.5,0
HH_0009,Neubau,Ölheizung,0,0,1,77,1,294.8,0
HH_0010,Saniert,Wärmepumpe,0,1,3,77,1,430.3,0
HH_0011,Altbau,Fernwärme,0,0,2,77,1,395.8,0
HH_0012,Altbau,Gasheizung,1,0,3,77,0,624.8,0
HH_0013,Neubau,Gasheizung,0,0,1,77,1,236.7,0
HH_0014,Altbau,Wärmepumpe,0,0,3,77,1,574.2,0
HH_0015,Neubau,Ölheizung,1,0,3,77,0,550.4,0
HH_0016,Passivhaus,Wärmepumpe,0,1,5,77,1,439.1,0
HH_0017,Saniert,Ölheizung,0,0,4,77,1,606.0,0
HH_0018,Passivhaus,Fernwärme,1,0,2,77,1,67.8,0
HH_0019,Saniert,Gasheizung,0,0,1,77,0,258.9,0
HH_0020,Neubau,Gasheizung,0,0,3,77,0,541.1,0
HH_0021,Saniert,Fernwärme,0,0,3,77,0,403.0,0
HH_0022,Passivhaus,Wärmepumpe,0,0,1,77,1,78.9,0
HH_0023,Passivhaus,Gasheizung,1,0,1,77,1,50.0,0
HH_0024,Saniert,Wärmepumpe,0,0,3,77,0,311.2,0
HH_0025,Altbau,Wärmepumpe,0,0,4,77,1,698.4,0
HH_0026,Altbau,Ölheizung,1,0,4,77,1,925.1,0
HH_0027,Altbau,Gasheizung,0,0,1,77,1,305.3,0
HH_0028,Passivhaus,Gasheizung,0,1,2,77,0,479.3,0
HH_0029,Neubau,Wärmepumpe,0,0,1,77,0,213.5,0
HH_0030,Saniert,Fernwärme,0,1,2,77,1,431.6,0
HH_0031,Neubau,Wärmepumpe,0,0,3,77,0,405.2,0
HH_0032,Saniert,Ölheizung,0,0,3,77,1,486.5,0
HH_0033,Altbau,Fernwärme,0,0,2,77,1,472.0,0
HH_0034,Altbau,Wärmepumpe,1,1,1,77,0,212.6,0
HH_0035,Neubau,Gasheizung,1,0,2,77,0,339.1,0
HH_0036,Neubau,Wärmepumpe,0,0,4,77,1,506.3,0
HH_0037,Altbau,Fernwärme,0,0,2,77,0,474.2,0
HH_0038,Saniert,Fernwärme,0,0,2,77,0,233.1,0
HH_0039,Neubau,Ölheizung,0,0,3,77,1,570.5,0
HH_0040,Saniert,Wärmepumpe,1,0,3,77,1,162.6,0
HH_0041,Altbau,Wärmepumpe,1,0,4,77,1,561.7,0
HH_0042,Saniert,Gasheizung,0,0,2,77,1,332.4,0
HH_0043,Altbau,Gasheizung,0,0,2,77,0,563.3,0
HH_0044,Saniert,Gasheizung,0,0,2,77,0,343.3,0
HH_0045,Neubau,Gasheizung,0,0,4,77,1,620.7,0
HH_0046,Saniert,Wärmepumpe,1,0,3,77,1,209.1,0
HH_0047,Passivhaus,Gasheizung,1,0,4,77,1,233.9,0
HH_0048,Altbau,Wärmepumpe,0,0,1,77,0,271.2,0
HH_0049,Altbau,Wärmepumpe,0,0,3,77,0,517.4,0
HH_0050,Saniert,Wärmepumpe,0,0,2,77,0,287.2,0
HH_0051,Neubau,Wärmepumpe,1,0,1,77,1,50.0,0
HH_0052,Altbau,Gasheizung,1,0,1,77,0,296.8,0
HH_0053,Neubau,Ölheizung,0,0,3,77,0,541.8,0
HH_0054,Altbau,Gasheizung,1,0,2,77,1,404.7,0
HH_0055,Altbau,Ölheizung,0,0,4,77,1,1004.7,0
HH_0056,Neubau,Gasheizung,0,0,3,77,1,492.8,0
HH_0057,Saniert,Wärmepumpe,1,1,1,77,1,264.0,0
HH_0058,Neubau,Gasheizung,0,0,3,77,1,579.7,0
HH_0059,Neubau,Gasheizung,1,0,1,77,0,101.4,0
HH_0060,Saniert,Wärmepumpe,0,0,2,77,1,246.0,0
HH_0061,Altbau,Fernwärme,0,0,3,77,0,570.5,0
HH_0062,Saniert,Gasheizung,0,1,4,77,0,714.9,0
HH_0063,Saniert,Wärmepumpe,0,1,2,77,1,459.4,0
HH_0064,Altbau,Gasheizung,0,1,4,77,1,1166.4,1
HH_0065,Neubau,Gasheizung,0,1,3,77,1,750.5,0
HH_0066,Passivhaus,Ölheizung,0,0,2,77,1,243.0,0
HH_0067,Passivhaus,Ölheizung,0,0,2,77,1,298.9,0
HH_0068,Altbau,Wärmepumpe,1,1,3,77,1,518.0,0
HH_0069,Altbau,Gasheizung,0,0,1,77,1,356.7,0
HH_0070,Altbau,Gasheizung,1,1,4,77,1,1008.5,0
HH_0071,Neubau,Ölheizung,0,0,3,77,0,594.3,0
HH_0072,Neubau,Gasheizung,0,0,2,77,0,453.1,0
HH_0073,Neubau,Fernwärme,0,1,5,77,1,792.6,0
HH_0074,Saniert,Gasheizung,0,0,1,77,0,217.6,0
HH_0075,Altbau,Ölheizung,0,0,4,77,1,1010.5,0
HH_0076,Saniert,Gasheizung,0,0,2,77,1,376.3,0
HH_0077,Altbau,Gasheizung,0,0,3,77,1,672.2,0
HH_0078,Altbau,Wärmepumpe,1,1,2,77,1,540.8,0
HH_0079,Neubau,Ölheizung,0,0,3,77,0,572.8,0
HH_0080,Altbau,Ölheizung,1,0,1,77,1,330.1,0
HH_0081,Neubau,Fernwärme,0,0,2,77,0,323.2,0
HH_0082,Saniert,Fernwärme,1,1,1,77,0,301.7,0
HH_0083,Altbau,Wärmepumpe,0,0,4,77,1,643.7,0
HH_0084,Saniert,Fernwärme,1,0,2,77,0,208.3,0
HH_0085,Altbau,Ölheizung,0,0,3,77,0,787.4,0
HH_0086,Altbau,Wärmepumpe,0,1,4,77,1,792.7,0
HH_0087,Neubau,Wärmepumpe,0,1,4,77,1,682.8,0
HH_0088,Saniert,Wärmepumpe,0,0,1,77,1,218.7,0
HH_0089,Neubau,Wärmepumpe,1,0,4,77,1,351.2,0
HH_0090,Neubau,Ölheizung,1,1,1,77,1,393.1,0
HH_0091,Passivhaus,Gasheizung,1,0,3,77,0,179.6,0
HH_0092,Saniert,Gasheizung,0,1,3,77,1,714.3,0
HH_0093,Altbau,Wärmepumpe,1,0,1,77,1,149.5,0
HH_0094,Saniert,Gasheizung,0,0,2,77,0,349.8,0
HH_0095,Neubau,Wärmepumpe,0,0,2,77,1,253.7,0
HH_0096,Saniert,Ölheizung,1,1,2,77,1,395.1,0
HH_0097,Neubau,Wärmepumpe,0,0,4,77,0,443.9,0
HH_0098,Altbau,Ölheizung,0,0,2,77,0,618.5,0
HH_0099,Neubau,Gasheizung,0,0,4,77,0,708.0,0
HH_0100,Neubau,Ölheizung,0,1,2,77,1,674.6,0
HH_0101,Neubau,Wärmepumpe,0,0,5,77,1,512.1,0
HH_0102,Saniert,Gasheizung,0,0,3,77,1,428.2,0
HH_0103,Saniert,Wärmepumpe,1,0,4,77,1,300.1,0
HH_0104,Neubau,Ölheizung,1,0,1,77,1,168.2,0
HH_0105,Neubau,Gasheizung,1,0,3,77,1,403.3,0
HH_0106,Neubau,Wärmepumpe,0,0,1,77,1,215.9,0
HH_0107,Neubau,Ölheizung,1,0,2,77,1,369.3,0
HH_0108,Passivhaus,Gasheizung,1,0,3,77,1,87.0,0
HH_0109,Neubau,Wärmepumpe,0,1,3,77,1,505.5,0
HH_0110,Altbau,Wärmepumpe,0,1,1,77,1,387.6,0
HH_0111,Neubau,Gasheizung,0,0,2,77,1,401.3,0
HH_0112,Neubau,Wärmepumpe,0,0,3,77,1,375.2,0
HH_0113,Neubau,Gasheizung,0,0,1,77,1,236.8,0
HH_0114,Neubau,Fernwärme,0,0,2,77,1,333.8,0
HH_0115,Altbau,Gasheizung,0,0,3,77,1,767.8,0
HH_0116,Altbau,Gasheizung,0,0,1,77,1,344.1,0
HH_0117,Altbau,Wärmepumpe,0,0,3,77,1,472.1,0
HH_0118,Neubau,Gasheizung,1,0,3,77,0,492.0,0
HH_0119,Altbau,Gasheizung,1,0,4,77,0,828.7,0
HH_0120,Saniert,Fernwärme,0,0,2,77,1,242.4,0
HH_0121,Altbau,Ölheizung,0,0,4,77,0,957.9,0
HH_0122,Passivhaus,Ölheizung,0,0,1,77,1,161.4,0
HH_0123,Altbau,Wärmepumpe,0,0,2,77,1,386.0,0
HH_0124,Altbau,Ölheizung,0,0,1,77,1,393.3,0
HH_0125,Neubau,Ölheizung,1,0,4,77,1,673.6,0
HH_0126,Altbau,Wärmepumpe,0,0,3,77,1,487.8,0
HH_0127,Passivhaus,Gasheizung,1,0,1,77,1,50.0,0
HH_0128,Altbau,Gasheizung,1,1,1,77,1,483.8,0
HH_0129,Neubau,Wärmepumpe,0,0,2,77,1,247.0,0
HH_0130,Passivhaus,Ölheizung,0,0,1,77,0,151.6,0
HH_0131,Neubau,Wärmepumpe,0,1,3,77,0,555.9,0
HH_0132,Altbau,Fernwärme,0,0,3,77,1,657.8,0
HH_0133,Altbau,Gasheizung,0,0,4,77,1,975.1,1
HH_0134,Neubau,Gasheizung,1,0,5,77,1,780.2,0
HH_0135,Altbau,Wärmepumpe,1,0,3,77,1,360.8,0
HH_0136,Neubau,Ölheizung,1,0,1,77,0,176.6,0
HH_0137,Saniert,Gasheizung,0,0,2,77,1,313.2,0
HH_0138,Saniert,Ölheizung,0,0,2,77,0,331.9,0
HH_0139,Altbau,Gasheizung,0,0,2,77,1,630.0,0
HH_0140,Altbau,Wärmepumpe,0,0,3,77,1,540.3,0
HH_0141,Altbau,Wärmepumpe,0,1,5,77,1,903.6,0
HH_0142,Neubau,Ölheizung,0,1,4,77,1,915.9,0
HH_0143,Neubau,Gasheizung,0,0,1,77,1,271.8,0
HH_0144,Saniert,Gasheizung,1,0,2,77,1,265.5,0
HH_0145,Saniert,Gasheizung,1,0,4,77,1,411.6,0
HH_0146,Altbau,Ölheizung,0,0,4,77,1,1020.7,0
HH_0147,Neubau,Gasheizung,1,0,2,77,1,273.4,0
HH_0148,Altbau,Gasheizung,0,0,3,77,0,761.4,0
HH_0149,Altbau,Wärmepumpe,0,1,3,77,0,606.7,0
HH_0150,Altbau,Wärmepumpe,1,0,2,77,1,323.3,0
HH_0151,Altbau,Fernwärme,0,0,2,77,0,467.3,0
HH_0152,Neubau,Ölheizung,1,0,4,77,1,617.7,0
HH_0153,Neubau,Wärmepumpe,1,0,3,77,1,226.1,0
HH_0154,Altbau,Ölheizung,1,0,1,77,1,308.1,0
HH_0155,Passivhaus,Fernwärme,1,1,3,77,1,291.1,0
HH_0156,Neubau,Gasheizung,0,0,3,77,0,638.0,0
HH_0157,Altbau,Ölheizung,0,1,4,77,0,1176.8,1
HH_0158,Altbau,Fernwärme,0,0,2,77,1,389.5,0
HH_0159,Neubau,Wärmepumpe,0,0,5,77,0,513.5,0
HH_0160,Passivhaus,Fernwärme,0,0,1,77,0,156.1,0
HH_0161,Neubau,Wärmepumpe,1,0,3,77,1,222.5,0
HH_0162,Passivhaus,Gasheizung,0,0,3,77,1,245.5,0
HH_0163,Neubau,Fernwärme,1,0,2,77,1,236.9,0
HH_0164,Neubau,Fernwärme,1,0,2,77,1,286.1,0
HH_0165,Neubau,Fernwärme,0,1,4,77,1,830.5,0
HH_0166,Saniert,Gasheizung,0,0,3,77,1,516.0,0
HH_0167,Neubau,Ölheizung,0,0,2,77,1,444.4,0
HH_0168,Saniert,Gasheizung,0,0,1,77,1,145.0,0
HH_0169,Altbau,Gasheizung,0,0,1,77,0,387.3,0
HH_0170,Neubau,Gasheizung,0,0,1,77,1,299.0,0
HH_0171,Neubau,Gasheizung,1,0,5,77,1,685.3,0
HH_0172,Neubau,Wärmepumpe,0,0,3,77,1,384.3,0
HH_0173,Altbau,Wärmepumpe,1,0,5,77,1,621.3,0
HH_0174,Neubau,Ölheizung,1,1,1,77,0,364.5,0
HH_0175,Neubau,Ölheizung,0,0,3,77,0,628.3,0
HH_0176,Saniert,Fernwärme,0,0,1,77,1,260.4,0
HH_0177,Saniert,Wärmepumpe,1,0,3,77,1,227.9,0
