customer_id,age,contract_type,monthly_fee,tenure_months,support_tickets,avg_call_duration,data_usage_gb,payment_delay_days,churned
1,56,monthly,63.5,23,4,14.73,7.14,8,0
2,69,monthly,54.71,32,1,1.62,32.42,27,1
3,46,yearly,98.9,62,3,12.31,17.31,24,1
4,32,monthly,22.28,10,1,11.24,35.54,9,1
5,60,monthly,72.56,54,0,19.41,28.09,28,0
6,25,monthly,46.39,52,1,10.2,13.17,11,0
7,38,monthly,48.54,20,4,2.21,32.72,13,1
8,56,monthly,74.58,32,3,11.48,6.26,0,1
9,36,monthly,72.32,14,3,16.98,27.05,13,1
10,40,yearly,99.21,50,5,19.94,22.14,13,1
11,28,monthly,21.56,28,1,9.18,13.76,7,0
12,28,monthly,19.37,53,4,7.09,30.4,15,1
13,41,yearly,75.19,24,1,18.23,43.63,13,0
14,70,monthly,62.05,22,1,4.63,49.95,0,1
15,53,yearly,34.67,30,1,12.69,30.58,15,0
16,57,monthly,17.15,63,0,8.71,20.53,17,1
17,41,monthly,17.71,4,1,1.78,11.65,6,0
18,20,monthly,90.48,59,4,7.6,13.23,14,1
19,39,monthly,27.27,8,2,6.04,24.23,23,1
20,70,monthly,39.1,12,1,14.04,18.68,16,1
21,19,monthly,30.4,31,1,19.03,45.73,18,1
22,41,monthly,41.95,34,1,6.09,18.73,22,1
23,61,monthly,16.25,49,2,16.42,18.99,12,1
24,47,monthly,56.72,57,2,2.05,19.48,8,0
25,55,monthly,16.09,26,0,11.22,41.91,23,1
26,19,monthly,82.03,18,2,2.34,32.71,23,0
27,38,monthly,31.03,38,1,18.75,30.9,14,0
28,50,yearly,58.6,50,2,15.56,17.04,24,1
29,29,monthly,89.21,8,2,13.5,40.99,25,0
30,39,yearly,68.58,41,0,16.65,2.4,2,1
31,61,yearly,57.97,6,2,13.3,43.6,23,1
32,42,monthly,39.19,69,0,19.41,25.88,0,1
33,66,yearly,39.97,44,3,14.57,20.21,15,0
34,44,yearly,70.25,64,4,18.57,25.11,7,1
35,59,monthly,99.47,29,4,10.83,33.54,28,1
36,45,monthly,69.57,28,3,3.22,1.13,22,1
37,33,yearly,60.2,11,3,11.04,43.64,12,0
38,32,yearly,75.76,65,2,3.41,22.61,7,1
39,64,monthly,51.87,19,0,12.26,17.48,16,0
40,68,monthly,15.41,9,2,10.17,7.34,21,0
41,61,monthly,60.61,27,3,12.83,22.25,22,0
42,72,monthly,96.19,34,1,1.19,25.07,13,0
43,69,yearly,25.78,44,2,4.7,20.48,26,0
44,74,monthly,72.1,68,1,10.34,34.09,20,1
45,20,monthly,28.08,15,1,19.06,21.33,29,1
46,54,yearly,58.22,51,2,8.29,48.09,20,1
47,68,monthly,18.7,13,3,9.06,30.16,6,1
48,24,monthly,50.53,49,2,14.58,40.47,26,1
49,38,yearly,78.05,70,0,12.47,5.91,14,1
50,26,yearly,41.28,56,3,6.68,20.17,15,1
51,56,monthly,69.84,51,2,8.81,17.17,18,0
52,35,monthly,81.59,37,2,5.14,28.69,5,1
53,21,monthly,93.45,17,0,19.35,43.13,22,0
54,42,monthly,31.12,58,4,3.48,4.38,0,1
55,31,monthly,45.94,29,2,8.06,4.09,11,0
56,67,monthly,23.72,33,2,1.49,42.59,17,0
57,26,monthly,99.32,60,1,5.21,11.04,15,1
58,43,monthly,93.43,55,2,15.83,33.6,11,1
59,70,monthly,58.6,10,2,4.82,27.37,19,1
60,19,monthly,85.78,47,2,2.52,41.73,12,1
61,37,monthly,56.89,23,4,10.01,6.69,7,0
62,45,monthly,66.12,21,0,1.19,6.92,26,0
63,64,monthly,18.02,13,1,2.61,28.06,28,1
64,24,yearly,77.97,33,4,16.34,47.35,29,1
65,61,monthly,21.49,24,0,15.66,21.04,25,1
66,25,yearly,84.35,11,0,18.39,16.68,21,1
67,64,yearly,80.38,17,3,17.24,30.53,0,0
68,52,monthly,73.79,68,0,13.98,46.56,25,1
69,31,monthly,13.25,47,1,1.99,41.93,20,1
70,34,monthly,37.28,25,0,15.87,49.78,6,1
71,53,monthly,33.68,21,1,17.06,1.62,14,1
72,67,yearly,42.41,12,2,16.18,6.09,28,0
73,57,monthly,17.89,37,2,10.66,30.67,21,1
74,21,monthly,94.33,42,1,5.43,41.12,12,0
75,19,monthly,59.84,17,2,17.06,14.62,12,0
76,23,monthly,37.5,48,3,14.82,12.34,27,1
77,71,yearly,45.73,28,0,19.63,39.46,8,1
78,59,monthly,50.25,41,3,3.96,3.29,23,0
79,21,monthly,64.05,47,1,5.29,18.78,14,0
80,71,yearly,56.41,18,4,5.02,25.54,3,0
81,46,yearly,92.75,71,5,16.06,28.24,12,1
82,35,monthly,54.73,13,1,4.55,36.57,26,0
83,43,monthly,99.29,13,1,2.27,18.06,11,1
84,61,monthly,86.63,31,4,19.97,30.83,4,0
85,51,monthly,28.77,2,1,1.47,29.48,6,0
86,27,monthly,93.75,16,1,16.87,27.61,7,1
87,53,monthly,20.47,9,3,7.94,32.2,4,0
88,31,monthly,83.57,38,2,16.99,13.34,8,1
89,48,monthly,44.26,54,0,11.54,4.69,13,0
90,65,yearly,89.02,56,1,18.13,6.4,25,1
91,32,monthly,88.13,45,2,18.6,11.62,11,0
92,25,monthly,82.53,34,1,1.17,25.26,3,1
93,31,monthly,81.1,9,4,2.43,42.1,19,0
94,40,yearly,37.42,8,3,5.76,35.21,28,1
95,74,monthly,17.28,7,0,13.72,39.56,7,1
96,57,monthly,46.27,36,2,17.88,17.87,16,1
97,38,yearly,25.62,18,4,9.74,20.53,7,0
98,33,yearly,72.55,3,2,12.53,19.99,20,1
99,62,yearly,41.15,28,1,4.58,10.0,28,1
100,35,monthly,97.8,70,2,16.29,3.53,29,1
101,64,monthly,67.69,44,2,19.38,29.75,26,0
102,70,yearly,84.02,21,2,6.1,49.47,0,1
103,41,yearly,21.93,28,1,10.4,8.76,19,1
104,43,monthly,87.58,54,0,2.64,2.81,1,1
105,42,monthly,93.05,54,3,11.62,39.09,3,1
106,62,monthly,53.84,65,6,10.55,13.0,23,1
107,58,yearly,64.56,21,1,3.74,41.57,20,1
108,46,monthly,78.83,13,2,9.4,35.34,0,0
109,32,monthly,25.74,57,2,7.35,47.31,6,0
110,62,monthly,55.23,49,2,10.91,20.74,0,0
111,18,monthly,45.88,54,2,12.13,33.27,8,1
112,42,monthly,23.17,10,2,1.16,23.51,2,0
113,24,monthly,43.08,53,1,15.46,31.71,11,1
114,26,yearly,16.14,44,4,14.55,22.76,18,0
115,41,monthly,12.32,47,3,7.96,9.84,14,1
116,18,monthly,22.16,53,0,2.01,25.64,21,1
117,61,monthly,96.68,46,2,15.34,26.66,15,1
118,25,monthly,59.46,13,2,19.15,40.62,9,0
119,41,monthly,96.92,37,3,5.56,36.91,21,1
120,28,monthly,48.92,24,1,7.15,33.36,28,1
121,68,monthly,38.06,2,2,4.49,6.11,26,1
122,34,monthly,55.55,14,0,11.96,36.17,26,0
123,25,monthly,49.56,10,3,3.94,25.27,5,0
124,52,yearly,19.51,35,3,7.77,44.76,28,1
125,52,monthly,67.67,25,2,14.24,46.03,16,1
126,50,yearly,29.44,3,0,11.64,3.23,20,0
127,22,monthly,65.76,17,3,8.34,41.12,27,1
128,59,yearly,68.52,12,2,8.98,2.37,21,1
129,56,yearly,23.68,54,4,11.68,18.67,23,1
130,58,monthly,15.52,24,1,1.11,27.34,28,0
131,45,monthly,80.27,29,3,2.49,7.83,16,1
132,24,monthly,51.38,43,2,17.74,37.44,20,0
133,26,monthly,15.23,25,4,2.48,0.91,18,1
134,25,yearly,99.54,60,0,14.43,8.85,17,1
