content,x,y
(IMDG),"305.97202","2176.608"
"1.1. Produktidentifikator","64.629","191.34998"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder Gemischs und","64.629","238.69397"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.629","278.44598"
"1.4. Notrufnummer","64.629","305.78998"
"10.1. Reaktivität","64.629","1464.6069"
"10.2. Chemische Stabilität","64.629","1491.9509"
"10.3. Möglichkeit gefährlicher Reaktionen","64.629","1519.2949"
"10.4. Zu vermeidende Bedingungen","64.629","1546.6389"
"10.5. Unverträgliche Materialien","64.629","1573.9829"
"10.6. Gefährliche Zersetzungsprodukte","64.629","1601.3269"
100,"472.968","509.543"
10000 M-Faktor (chronisch): 10000,"185.64699","551.151"
"11.1. Angaben zu toxikologischen Wirkungen","64.629","1861.124"
"12.1. Toxizität","64.629","1911.8079"
"12.2. Persistenz und Abbaubarkeit","64.629","1939.1519"
"12.3. Bioakkumulationspotenzial","64.629","1966.4958"
"12.4. Mobilität im Boden","64.629","1993.84"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","64.629","2021.184"
"12.6. Andere schädliche Wirkungen","64.629","2048.5278"
"13.1. Verfahren der Abfallbehandlung","64.629","2099.212"
"14.1. UN-Nr.","66.128","2194.9958"
"14.2. Ordnungsgemäße UN-Versandbezeichnung","66.128","2248.54"
"14.3. Transportgefahrenklassen","66.128","2284.264"
"14.4. Verpackungsgruppe","66.128","2316.208"
"14.5. Umweltgefahren","66.128","2348.1519"
"14.6. Besondere Vorsichtsmaßnahmen für den Verwender","66.128","2380.096"
"14.7. Massengutbeförderung gemäß Anhang II des MARPOL-Übereinkommens","64.629","2413.304"
"15.1. Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.629","2703.013"
"15.2. Stoffsicherheitsbeurteilung","64.629","2742.765"
"16.1. Änderungshinweise","64.629","2793.449"
"16.2. Abkürzungen und Akronyme","64.629","2820.793"
"16.3. Wichtige Literaturangaben und Datenquellen","64.629","2848.137"
"16.4. Einstufung von Gemischen und verwendete Bewertungsmethode gemäß","64.629","2875.481"
"16.5. Wortlaut der R-, H- und EUH-Sätze (Nummer und Volltext)","64.629","2915.233"
"16.6. Schulungshinweise","64.629","3006.841"
"16.7. Zusätzliche Hinweise","64.629","3034.185"
"2.1. Einstufung des Stoffs oder Gemischs","64.629","356.474"
"2.2. Kennzeichnungselemente","64.629","383.818"
"2.3. Sonstige Gefahren","64.629","411.162"
"3.1. Stoffe","64.629","461.846"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","64.629","603.938"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.629","631.282"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.629","658.626"
"5.1. Löschmittel","64.629","709.31"
"5.2. Besondere vom Stoff oder Gemisch ausgehende Gefahren","64.629","736.654"
"5.3. Hinweise für die Brandbekämpfung","64.629","763.998"
"6.1. Personenbezogene Vorsichtsmaßnahmen, Schutzausrüstungen und in","64.629","1019.235"
"6.2. Umweltschutzmaßnahmen","64.629","1058.9869"
"6.3. Methoden und Material für Rückhaltung und Reinigung","64.629","1086.331"
"6.4. Verweis auf andere Abschnitte","64.629","1113.675"
"7.1. Schutzmaßnahmen zur sicheren Handhabung","64.629","1164.3589"
"7.2. Bedingungen zur sicheren Lagerung unter Berücksichtigung von","64.629","1191.703"
"7.3. Spezifische Endanwendungen","64.629","1231.455"
"8.1. Zu überwachende Parameter","64.629","1296.143"
"8.2. Begrenzung und Überwachung der Exposition","64.629","1323.4869"
"9.1. Angaben zu den grundlegenden physikalischen und chemischen","64.629","1374.1709"
"9.2. Sonstige Angaben","64.629","1413.923"
ABSCHNITT 10: Stabilität und Reaktivität,"64.629","1446.4429"
ABSCHNITT 11: Toxikologische Angaben,"64.629","1842.96"
ABSCHNITT 12: Umweltbezogene Angaben,"64.629","1893.6439"
ABSCHNITT 13: Hinweise zur Entsorgung,"64.629","2081.0479"
ABSCHNITT 14: Angaben zum Transport,"64.629","2131.732"
ABSCHNITT 15: Rechtsvorschriften,"64.629","2684.849"
ABSCHNITT 16: Sonstige Angaben,"64.629","2775.285"
ABSCHNITT 1: Bezeichnung des Stoffs beziehungsweise des Gemischs,"64.629","159.182"
ABSCHNITT 2: Mögliche Gefahren,"64.629","338.31"
ABSCHNITT 3: Zusammensetzung / Angaben zu Bestandteilen,"64.629","443.682"
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"64.629","585.774"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"64.629","691.146"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"64.629","1001.071"
ABSCHNITT 7: Handhabung und Lagerung,"64.629","1146.195"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"64.629","1263.975"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"64.629","1356.007"
Abamectin,"185.64699","509.543"
"Acute Tox. 1, Acute Tox. 2, Aquatic Acute 1, Aquatic Chronic 1,","185.64699","519.143"
"CAS-Nr.: 65195-55-3","71.497","511.143"
"Druckdatum: 03.11.2020","64.629","82.262024"
"Druckdatum: 03.11.2020","64.629","924.151"
"Druckdatum: 03.11.2020","64.629","1766.04"
"Druckdatum: 03.11.2020","64.629","2607.929"
"EG-Nr.: 265-610-3","71.497","522.343"
Eigenschaften,"64.629","1386.579"
"Einstufung gemäß Verordnung (EG) Nr. 1272/2008 [CLP]","185.64699","497.343"
"GeSi.de","528.993","804.96106"
"GeSi.de","528.993","1646.8501"
"GeSi.de","528.993","2488.739"
"GeSi.de","528.993","3330.628"
Gefahr H300-H330-H361d-H372-H410 M-Faktor (akut):,"224.319","541.07104"
Gefahrenhinweise,"71.497","2929.33"
Gefährliche Inhaltsstoffe / Gefährliche Verunreinigungen / Stabilisatoren:,"64.629","474.902"
H300,"71.497","2941.53"
H330,"71.497","2953.23"
H361d,"71.497","2964.93"
H372,"71.497","2976.63"
H410,"71.497","2988.33"
Handelsname/Bezeichnung:,"64.629","204.406"
"Kann vermutlich das Kind im Mutterleib schädigen.","159.247","2964.93"
Kein Gefahrgut,"66.128","2208.552"
