content,x,y
,"261.10938","1543.8062"
% (w/w),"273.4632","1479.1584"
(EmS),"34.1829","8976.559"
(Arbeitsplatzatmosphären - Anleitung zur Ermittlung der inhalativen Exposition,"196.1019","4382.9907"
"(EG) 1272/2008 und deren Änderungen.","38.9805","2314.202"
"(EG) 1272/2008 und deren Änderungen.","38.9805","6257.094"
"(Partikelfilter EN143 Typ P2) Atemschutz bei Dampfentwicklung . (Halbmaske mit","194.42273","5323.8203"
"(je nach Verfügbarkeit) für dieses Produkt gelesen werden. Jede Empfehlung oder Erklärung, die von uns über","33.70314","10876.57"
-,"471.84396","6418.295"
-,"380.20978","6571.578"
-,"415.47214","6571.578"
-,"481.3192","6571.578"
-,"173.07341","7427.731"
-,"304.4077","7427.731"
-,"304.4077","7508.211"
-,"230.52467","8727.442"
-,"443.89792","8727.442"
-,"230.52467","9065.674"
-,"443.89792","9065.314"
-,"263.6281","9537.898"
-,"358.50064","9537.898"
-,"453.49313","9537.898"
0%,"184.46771","769.7497"
0%,"183.38826","933.0093"
"0,913","199.93997","5645.62"
01-2119539477-28,"169.1154","1588.9036"
1,"256.6716","10660.079"
"1 Anhang Nr. 4","179.67012","9686.384"
"1 Anhang Nr. 4","179.67012","9766.385"
"1.1. Produktidentifikator","33.34332","247.95197"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder des Gemischs und Verwendungen, von denen","33.34332","297.12732"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","30.5847","357.93695"
"1.4 Notrufnummer","30.5847","534.8496"
10,"180.50969","650.35187"
10,"179.67012","9671.392"
10,"186.38675","10767.426"
"10.1. Reaktivität","33.34332","5987.349"
"10.2. Chemische Stabilität","33.34332","6027.051"
"10.3. Möglichkeit","33.34332","6055.7163"
"10.4. Zu vermeidende","33.34332","6097.3354"
"10.5. Unverträgliche","33.34332","6137.875"
"10.6. Gefährliche","33.34332","6178.174"
"11.1. Angaben zu toxikologischen Wirkungen","33.34332","6230.8276"
"12.1. Toxizität","33.34332","7137.595"
"12.2. Persistenz und Abbaubarkeit","33.34332","7356.127"
"12.3. Bioakkumulationspotenzial","33.34332","7462.3936"
"12.4. Mobilität im Boden","33.34332","7667.1514"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","33.34332","7724.7236"
"12.6. Andere schädliche","33.34332","7797.407"
"13.1 Verfahren der Abfallbehandlung","32.86356","7885.4424"
"14.1 UN-Nummer","34.1829","8595.51"
"14.2","34.1829","8624.774"
"14.3","34.1829","8678.866"
"14.4","34.1829","8754.669"
"14.5","34.1829","8784.653"
"14.6 Besondere","34.1829","8863.454"
"14.7 Massengutbeförderung","32.86356","9006.783"
1470 mg/kg,"391.84396","6418.295"
"15.1 Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz, spezifische Rechtsvorschriften für den Stoff","36.461758","9128.163"
"15.2","35.382298","9997.149"
"1607,9 mg/l","352.14383","6509.3296"
"2,81","173.07341","7508.211"
"2.1. Einstufung des Stoffs oder Gemischs","33.34332","709.12244"
"2.2. Kennzeichnungselemente","33.34332","1002.1571"
"2.3. Sonstige Gefahren","34.1829","1376.9696"
200°C,"199.93997","5532.3955"
22-10-2017,"186.38675","10711.293"
"3.2 Gemische","33.70314","1444.136"
375184 ppm,"352.14383","6498.295"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","33.34332","2059.928"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","33.34332","2287.935"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","33.34332","2443.977"
48 Stunden,"496.5516","7264.9727"
"5.1. Löschmittel","33.34332","2683.7583"
"5.2. Besondere vom Stoff oder Gemisch ausgehende Gefahren.","33.34332","2773.7122"
"5.3. Hinweise für die Brandbekämpfung","33.34332","2868.4646"
6-4-2017,"180.50969","664.92694"
