content,x,y
 Chlor),"83.7005","6647.2085"
 Kann über die Haut aufgenommen,"418.8979","3664.5369"
 LQ27= 6 kg,"83.758995","7257.293"
"(1999/45/EG) vorgenommen. Keine Daten verfügbar","70.298","5622.682"
(Aquatic Acute 1),"69.897","569.871"
(Aquatic Acute 1),"69.897","8015.191"
(Aquatic Chronic 1),"69.897","591.171"
(Aquatic Chronic 1),"69.897","8036.491"
(Herkunfts-,"69.897","3596.803"
(IMDG),"304.172","6570.7915"
(IMDG),"304.172","6901.8647"
(LQ):,"64.327995","7131.293"
(LQ):,"184.125","7131.293"
(LQ):,"304.172","7131.293"
(LQ):,"424.219","7131.293"
"(Skin Irrit. 2)","69.897","527.271"
"(Skin Irrit. 2)","69.897","7972.591"
"(Verdünnungseffekt). Bei Unwohlsein ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.","70.298","1881.531"
*,"46.487995","238.69403"
*,"46.487995","609.682"
*,"46.487995","6291.3516"
* Daten gegenüber der Vorversion geändert,"66.259","8267.11"
"+49 (0) 89-19240 (24h) (Diese Nummer ist nur zu Bürozeiten besetzt.)","72.598","428.246"
-,"424.219","7034.86"
"1.1. Produktidentifikator","64.629","191.34998"
"1.2.","76.929","7796.687"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder Gemischs und","64.629","238.69397"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.629","291.04596"
"1.4. Notrufnummer","64.629","414.69"
"10.1. Reaktivität","64.629","4790.291"
"10.2. Chemische Stabilität","64.629","4817.635"
"10.3. Möglichkeit gefährlicher Reaktionen","64.629","4844.979"
"10.4. Zu vermeidende Bedingungen","64.629","4872.3228"
"10.5. Unverträgliche Materialien","64.629","4910.467"
"10.6. Gefährliche Zersetzungsprodukte","64.629","4937.8105"
"11.1. Angaben zu toxikologischen Wirkungen","64.629","5228.68"
12 01 99,"69.897","6364.6484"
12 01 99,"69.897","6394.8486"
"12.1. Toxizität","64.629","5662.11"
"12.2. Persistenz und Abbaubarkeit","64.629","6048.9277"
"12.3. Bioakkumulationspotenzial","64.629","6076.2715"
"12.4. Mobilität im Boden","64.629","6103.6157"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","64.629","6130.9595"
"12.6. Andere schädliche Wirkungen","64.629","6186.6675"
"13.1.","71.841","7829.687"
"13.1. Verfahren der Abfallbehandlung","64.629","6291.3516"
"13.1.1. Entsorgung des Produkts/der Verpackung","64.629","6328.068"
"13.2. Zusätzliche Angaben","64.629","6508.696"
"14.1. UN-Nr.","64.327995","6589.1797"
"14.2. Ordnungsgemäße UN-Versandbezeichnung","64.327995","6621.1235"
"14.3. Transportgefahrenklassen","64.327995","6920.253"
"14.4. Verpackungsgruppe","64.327995","6989.36"
"14.5. Umweltgefahren","64.327995","7021.3037"
"14.6. Besondere Vorsichtsmaßnahmen für den Verwender","64.327995","7092.5366"
"14.7. Massengutbeförderung gemäß Anhang II des MARPOL-Übereinkommens","64.629","7276.945"
149 – 151 °C,"217.365","4553.9956"
"15.1. Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.629","7340.0366"
"15.1.1. EU-Vorschriften","64.629","7367.5605"
"15.1.2. Nationale Vorschriften","64.629","7393.361"
"15.2. Stoffsicherheitsbeurteilung","64.629","7488.399"
"15.3. Zusätzliche Angaben","64.629","7732.706"
"16.1. Änderungshinweise","64.629","7783.39"
"16.2. Abkürzungen und Akronyme","64.629","7848.1978"
"16.3. Wichtige Literaturangaben und Datenquellen","64.629","7875.542"
"16.4. Einstufung von Gemischen und verwendete Bewertungsmethode gemäß","64.629","7902.8857"
"16.5. Wortlaut der R-, H- und EUH-Sätze (Nummer und Volltext)","64.629","8055.002"
"16.6. Schulungshinweise","64.629","8134.91"
"16.7. Zusätzliche Hinweise","64.629","8162.254"
199 – 201 °C,"217.365","4530.5957"
"2.1. Einstufung des Stoffs oder Gemischs","64.629","469.974"
"2.2.","76.929","7817.987"
"2.2. Kennzeichnungselemente","64.629","609.682"
"2.3. Sonstige Gefahren","64.629","1176.094"
3(E),"64.327995","7257.293"
"3.2. Gemische","64.629","1226.778"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","64.629","1383.7781"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.629","1921.0189"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.629","1948.363"
