content,x,y
,"234.41","607.27"
" CAS-Nr. : 121-32-4","369.93823","595.99"
" CAS-Nr. : 121-32-4 )","305.5742","2899.6099"
" EG-Nr. : 204-464-7","303.94632","595.99"
 H319,"282.35947","617.82996"
" REACH-Registrierungsnr. : 01-2119958961-24 ","151.1229","595.99"
( 1013 hPa ),"229.97","2300.83"
( 20 °C ),"229.97","2320.75"
( DE / D ),"494.38","760.05597"
( DE / D ),"494.38","1601.976"
( DE / D ),"494.38","2443.896"
( DE / D ),"494.38","3285.816"
( DE / D ),"494.38","4127.736"
( DE / D ),"494.38","4969.6562"
"(EG) Nr. 1272/2008 [CLP]","93.624","3966.31"
+ 49 40 4325760 (6 – 18 Uhr),"94.464","379.61"
"02. Einstufung des Stoffs oder Gemischs · 02. Kennzeichnungselemente · 02. Kennzeichnung gemäß Verordnung (EG)","98.184","3872.3499"
"03. Gefährliche Inhaltsstoffe · 07. Zusammenlagerungshinweise - Lagerklasse · 08. Arbeitsplatzgrenzwerte","98.184","3891.67"
"1,027 - 1,067 g/cm3","355.27","2317.75"
"1.1 Produktidentifikator","70.944","185.29999"
"1.2 Relevante identifizierte Verwendungen des Stoffs oder Gemischs und Verwendungen,","70.944","212.29999"
"1.3 Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","70.944","261.86"
"1.4 Notrufnummer","70.944","366.52997"
"10.1 Reaktivität","70.944","2391.8198"
"10.2 Chemische Stabilität","70.944","2675.42"
"10.3 Möglichkeit gefährlicher Reaktionen","70.944","2700.1401"
"10.4 Zu vermeidende Bedingungen","70.944","2724.8599"
"10.5 Unverträgliche Materialien","70.944","2759.3"
"10.6 Gefährliche Zersetzungsprodukte","70.944","2784.02"
"11.1 Angaben zu toxikologischen Wirkungen","70.944","2842.25"
"12.1 Toxizität","70.944","2977.01"
"12.2 Persistenz und Abbaubarkeit","70.944","3001.75"
"12.3 Bioakkumulationspotenzial","70.944","3026.47"
"12.4 Mobilität im Boden","70.944","3051.19"
"12.5 Ergebnisse der PBT- und vPvB-Beurteilung","70.944","3089.47"
"12.6 Andere schädliche Wirkungen","70.944","3114.19"
"12.7 Zusätzliche ökotoxikologische Informationen","70.944","3138.91"
120 °C,"385.63","2300.83"
"13.1 Verfahren der Abfallbehandlung","70.944","3197.1401"
"14.1 UN-Nummer","70.944","3527.2998"
"14.2 Ordnungsgemäße UN-Versandbezeichnung","70.944","3552.02"
"14.3 Transportgefahrenklassen","70.944","3576.74"
"14.4 Verpackungsgruppe","70.944","3601.46"
"14.5 Umweltgefahren","70.944","3626.18"
"14.6 Besondere Vorsichtsmaßnahmen für den Verwender","70.944","3650.93"
"15.1 Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","70.944","3709.97"
"15.2 Stoffsicherheitsbeurteilung","70.944","3801.77"
"16.1 Änderungshinweise","70.944","3859.99"
"16.2 Abkürzungen und Akronyme","70.944","3904.0298"
"16.3 Wichtige Literaturangaben und Datenquellen","70.944","3928.75"
"16.4 Einstufung von Gemischen und verwendete Bewertungsmethode gemäß Verordnung","70.944","3954.31"
"16.5 Wortlaut der H- und EUH-Sätze (Nummer und Volltext)","70.944","3990.19"
"16.6 Schulungshinweise","70.944","4015.8699"
"16.7 Zusätzliche Angaben","70.944","4040.6199"
"2.0.0 (1.0.0)","480.34","103.82001"
"2.0.0 (1.0.0)","480.34","945.74"
"2.0.0 (1.0.0)","480.34","1787.6599"
"2.0.0 (1.0.0)","480.34","2629.58"
"2.0.0 (1.0.0)","480.34","3471.5"
"2.0.0 (1.0.0)","480.34","4313.42"
"2.1 Einstufung des Stoffs oder Gemischs","70.944","426.16998"
"2.2 Kennzeichnungselemente","70.944","464.56998"
"2.3 Sonstige Gefahren","70.944","514.02997"
"28.06.2018","185.06","103.82001"
"28.06.2018","185.06","113.77997"
"28.06.2018","185.06","945.74"
"28.06.2018","185.06","955.69995"
"28.06.2018","185.06","1787.6599"
"28.06.2018","185.06","1797.6199"
"28.06.2018","185.06","2629.58"
"28.06.2018","185.06","2639.54"
"28.06.2018","185.06","3471.5"
"28.06.2018","185.06","3481.46"
"28.06.2018","185.06","4313.42"
"28.06.2018","185.06","4323.38"
"3.2 Gemische","70.944","572.23"
"4.1 Beschreibung der Erste-Hilfe-Maßnahmen","70.944","686.74"
"4.2 Wichtigste akute und verzögert auftretende Symptome und Wirkungen","70.944","1097.78"
"4.3 Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","70.944","1122.5"
"5.1 Löschmittel","70.944","1180.73"
"5.2 Besondere vom Stoff oder Gemisch ausgehende Gefahren","70.944","1243.73"
