content,x,y
 **einatembar,"185.70558","3701.1602"
" Acute Tox. 3, H311;","332.86703","1394.2523"
" Acute Tox. 3, H331;","332.86703","1336.2852"
" Aquatic Chronic 1, H410;","346.2738","1264.5332"
" Aquatic Chronic 1, H410;","346.2738","1300.4092"
" Aquatic Chronic 1, H410;","269.96368","1357.0518"
" Aquatic Chronic 2, H411;","269.96368","1415.0089"
 EZB 2008),"355.00427","3895.3203"
 EZB 2008),"318.64032","3920.1606"
 EZB 2008),"456.46844","3933.9553"
" Eye Dam. 1, H318;","304.05045","1346.0061"
" Eye Dam. 1, H318;","304.05045","1403.9733"
" STOT SE 3, H335","258.85944","1426.0546"
" Skin Sens. 1, H317","333.7103","1274.2542"
" Skin Sens. 1, H317","257.04767","1368.0874"
"(Faktor 0,5","304.3278","3895.3203"
(Fortsetzung auf Seite 10),"434.52985","7503.5947"
(Fortsetzung auf Seite 11),"434.52985","8327.009"
(Fortsetzung auf Seite 12),"434.52985","9188.459"
(Fortsetzung auf Seite 2),"438.9679","767.27856"
(Fortsetzung auf Seite 3),"438.96793","1620.0867"
(Fortsetzung auf Seite 4),"438.96793","2452.3767"
(Fortsetzung auf Seite 5),"438.96793","3232.9456"
(Fortsetzung auf Seite 6),"438.96793","4156.4414"
(Fortsetzung auf Seite 7),"438.96793","4967.1274"
(Fortsetzung auf Seite 8),"438.96793","5798.461"
(Fortsetzung auf Seite 9),"438.96793","6642.2725"
(Fortsetzung von Seite 1),"437.28757","1064.6111"
(Fortsetzung von Seite 10),"432.8495","8641.619"
(Fortsetzung von Seite 11),"432.8495","9483.509"
(Fortsetzung von Seite 2),"437.28757","1906.5009"
(Fortsetzung von Seite 3),"437.28757","2748.3906"
(Fortsetzung von Seite 4),"437.28757","3584.6362"
(Fortsetzung von Seite 5),"437.28757","4432.17"
(Fortsetzung von Seite 6),"437.28757","5274.06"
(Fortsetzung von Seite 7),"437.28757","6115.9497"
(Fortsetzung von Seite 8),"437.28757","6957.8394"
(Fortsetzung von Seite 9),"437.28757","7799.729"
*,"48.4853","501.47687"
*,"48.48528","3611.4006"
