content,x,y
,"511.67978","1152.3192"
" STOT SE 3, H336","315.77704","1174.3992"
"( k r e b s e r z e u g e n d e,","223.6794","4491.8794"
(Fortsetzung auf Seite 2),"455.7593","754.19904"
(Fortsetzung auf Seite 3),"455.75983","1543.399"
(Fortsetzung auf Seite 4),"455.7593","2401.599"
(Fortsetzung auf Seite 5),"455.75983","3264.719"
(Fortsetzung auf Seite 6),"455.75983","4100.599"
(Fortsetzung auf Seite 7),"455.7598","4946.559"
(Fortsetzung auf Seite 8),"455.75983","5715.959"
(Fortsetzung von Seite 1),"454.0798","974.2393"
(Fortsetzung von Seite 2),"454.0798","1804.9592"
(Fortsetzung von Seite 3),"454.0798","2658.2393"
(Fortsetzung von Seite 4),"454.0798","3500.2393"
(Fortsetzung von Seite 5),"454.0798","4330.9595"
(Fortsetzung von Seite 6),"454.0798","5184.2393"
(Fortsetzung von Seite 7),"454.0798","6014.9595"
*,"31.439487","102.95929"
*,"31.439487","545.99915"
*,"31.439487","1085.7192"
*,"31.439487","1239.4392"
*,"31.439487","1436.2391"
*,"31.439487","1831.7192"
*,"31.439487","2023.1191"
*,"31.439487","2229.039"
*,"31.439487","3130.079"
*,"31.439487","3967.759"
*,"31.439487","4357.719"
*,"31.439487","4664.679"
*,"31.439487","4899.999"
*,"31.439487","5335.3193"
*,"31.439487","6041.719"
*,"31.439487","6262.3994"
* Daten gegenüber der Vorversion geändert,"92.51942","6618.919"
- - -,"344.39984","5640.479"
- - -,"344.39984","5671.679"
0 °C,"320.15988","3531.0793"
"0,99 g/cm³","305.99988","3734.839"
"1.1 Produktidentifikator","64.19947","139.31927"
"1.2 Relevante identifizierte Verwendungen des Stoffs oder Gemischs und Verwendungen,","64.19998","215.39923"
"1.3 Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.19948","351.35922"
"1.4 Notrufnummer: Beratungsstelle für Vergiftungserscheinungen: D - Berlin, Tel.: +49 / 30 / 19240","64.19945","505.79916"
"10.1 Reaktivität Keine weiteren relevanten Informationen verfügbar.","64.19947","3990.319"
"10.2 Chemische Stabilität","64.199974","4003.1592"
"10.3 Möglichkeit gefährlicher Reaktionen Keine gefährlichen Reaktionen bekannt.","64.19947","4039.8792"
"10.4 Zu vermeidende Bedingungen Keine weiteren relevanten Informationen verfügbar.","64.19997","4052.719"
"10.5 Unverträgliche Materialien: Keine weiteren relevanten Informationen verfügbar.","64.19997","4065.559"
"10.6 Gefährliche Zersetzungsprodukte: Keine gefährlichen Zersetzungsprodukte bekannt.","64.19997","4078.399"
100 °C,"320.15988","3543.9194"
"11.1 Angaben zu toxikologischen Wirkungen","64.19947","4380.2793"
12,"320.15988","3898.1592"
"12.1 Toxizität","64.19947","4687.2393"
"12.2 Persistenz und Abbaubarkeit Keine weiteren relevanten Informationen verfügbar.","64.19997","4712.919"
"12.3 Bioakkumulationspotenzial Keine weiteren relevanten Informationen verfügbar.","64.19997","4725.7593"
"12.4 Mobilität im Boden Keine weiteren relevanten Informationen verfügbar.","64.19997","4738.599"
"12.5 Ergebnisse der PBT- und vPvB-Beurteilung","64.19949","4821.2793"
"12.6 Andere schädliche Wirkungen Keine weiteren relevanten Informationen verfügbar.","64.19997","4859.799"
"13.1 Verfahren der Abfallbehandlung","64.19947","4922.559"
"14.1 UN-Nummer","64.19947","5357.8794"
"14.2 Ordnungsgemäße UN-Versandbezeichnung","64.19947","5389.079"
"14.3 Transportgefahrenklassen","64.19947","5420.2793"
"14.4 Verpackungsgruppe","64.19947","5469.8394"
"14.5 Umweltgefahren:","64.19947","5501.039"
"14.6 Besondere Vorsichtsmaßnahmen für","64.19947","5532.2393"
"14.7 Massengutbeförderung gemäß Anhang","64.19947","5563.439"
"15.1 Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.19947","6064.2793"
"15.2 Stoffsicherheitsbeurteilung: Eine Stoffsicherheitsbeurteilung wurde nicht durchgeführt.","64.19997","6222.199"
2 (I),"99.59946","2350.839"
2(II),"99.59946","2389.479"
"2,70 %","320.15988","3910.999"
"2.1 Einstufung des Stoffs oder Gemischs","64.19947","568.5591"
"2.2 Kennzeichnungselemente","64.19947","610.7991"
"2.3 Sonstige Gefahren","64.19947","984.9193"
20 00 00,"69.71947","5213.2793"
20 01 00,"69.71947","5249.159"
"20 01 29* Reinigungsmittel, die gefährliche Stoffe enthalten","69.71947","5262.959"
23 hPa,"305.99988","3716.4792"
25 mg/l,"99.59946","2701.0793"
25 mg/l,"99.59945","2756.2793"
"3.2 Chemische Charakterisierung: Gemische","64.19947","1108.2793"
"4.1 Beschreibung der Erste-Hilfe-Maßnahmen","64.19947","1261.9991"
"4.2 Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.19997","1361.1191"
"4.3 Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.19947","1384.9991"
400 °C,"305.99988","3598.9993"
"46.1.4","0.0","841.6794"
"46.1.4","0.0","1683.6794"
"46.1.4","0.0","2525.6794"
"46.1.4","0.0","3367.6794"
"46.1.4","0.0","4209.679"
"46.1.4","0.0","5051.679"
"46.1.4","0.0","5893.679"
"46.1.4","0.0","6735.679"
"5.1 Löschmittel","64.19947","1458.7991"
"5.2 Besondere vom Stoff oder Gemisch ausgehende Gefahren","64.19997","1484.479"
"5.3 Hinweise für die Brandbekämpfung Nicht anwendbar.","64.19947","1508.3591"
"6.1 Personenbezogene Vorsichtsmaßnahmen, Schutzausrüstungen und in Notfällen","64.19947","1854.2793"
"6.2 Umweltschutzmaßnahmen:","64.19947","1890.9993"
"6.3 Methoden und Material für Rückhaltung und Reinigung:","64.19949","1914.8792"
"6.4 Verweis auf andere Abschnitte","64.19946","1938.7593"
7,"305.99988","3249.839"
"7,7","143.15944","6188.719"
"7.1 Schutzmaßnahmen zur sicheren Handhabung","64.19947","2045.6792"
"7.2 Bedingungen zur sicheren Lagerung unter Berücksichtigung von Unverträglichkeiten","64.19995","2098.9592"
"7.3 Spezifische Endanwendungen Keine weiteren relevanten Informationen verfügbar.","64.19995","2188.839"
"8.1 Zu überwachende Parameter","64.19947","2294.799"
"8.2 Begrenzung und Überwachung der Exposition","64.19995","2821.5593"
"9.1 Angaben zu den grundlegenden physikalischen und chemischen Eigenschaften","64.19947","3152.6392"
"9.2 Sonstige Angaben","64.19997","3922.039"
"A.","98.03947","2917.079"
ABSCHNITT 10: Stabilität und Reaktivität,"69.71947","3970.039"
ABSCHNITT 11: Toxikologische Angaben,"69.71947","4359.9995"
ABSCHNITT 12: Umweltbezogene Angaben,"69.71947","4666.959"
ABSCHNITT 13: Hinweise zur Entsorgung,"69.71947","4902.2793"
ABSCHNITT 14: Angaben zum Transport,"69.71947","5337.599"
ABSCHNITT 15: Rechtsvorschriften,"69.71947","6043.9995"
ABSCHNITT 16: Sonstige Angaben,"69.71947","6264.679"
ABSCHNITT 1: Bezeichnung des Stoffs beziehungsweise des Gemischs und des,"69.71947","105.23932"
ABSCHNITT 2: Mögliche Gefahren,"69.71947","548.2791"
ABSCHNITT 3: Zusammensetzung/Angaben zu Bestandteilen,"69.71947","1087.9993"
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"69.71947","1241.7192"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"69.71947","1438.519"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"69.71947","1833.9993"
ABSCHNITT 7: Handhabung und Lagerung,"69.71947","2025.3992"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"69.71947","2231.319"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"69.71947","3132.3591"
ADR,"92.51946","5625.839"
"ADR, ADN, IMDG, IATA","78.359985","5370.719"
"ADR, ADN, IMDG, IATA","78.35947","5401.9194"
"ADR, ADN, IMDG, IATA","78.35947","5438.639"
"ADR, IMDG, IATA","78.35947","5482.679"
ADR: Accord européen sur le transport des marchandises dangereuses par Route (European Agreement concerning the,"98.03945","6464.2393"
AGW,"69.71947","2339.799"
AGW,"69.71947","2378.439"
Abkürzungen und Akronyme:,"92.519966","6408.079"
"Abteilung Produktsicherheit.","83.87946","483.71915"
"Akute Toxizität Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","78.35947","4393.119"
"Alle anderen Anwendungen die nicht extra angeführt sind.","83.87946","334.79922"
Allgemeine Angaben,"78.35947","3165.479"
Allgemeine Hinweise:,"92.51946","4764.2793"
"Allgemeine Hinweise: Mit Produkt verunreinigte Kleidungsstücke unverzüglich entfernen.","78.35947","1274.8391"
Allgemeine Schutz- und Hygienemaßnahmen:,"92.51946","2847.2393"
"Anforderung an Lagerräume und Behälter: Nur im Originalgebinde aufbewahren.","92.51946","2124.6392"
Ansprechpartner: Abteilung Produksicherheit,"78.35997","6395.2393"
"Ansprechpartner: Herr Gerd Schuster, Tel.: +49 / (0)6202 / 85 932 - 0, email: info@kuk-schuster.de","83.87946","494.75916"
Anteil in %,"121.91949","6173.119"
"Aquatische Toxizität: Keine weiteren relevanten Informationen verfügbar.","78.35947","4700.079"
Artikelnummer: 500,"92.51946","176.87933"
"Aspirationsgefahr Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","92.51946","4624.479"
Atemschutz:,"92.519455","2893.1992"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","112.19995","4431.639"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","112.19995","4455.519"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","98.03946","4479.3994"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","112.19995","4528.959"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","112.19995","4565.679"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","98.03946","4589.559"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","98.03946","4613.439"
"Augen mehrere Minuten bei geöffnetem Lidspalt unter fließendem Wasser spülen. Bei anhaltenden","83.87946","1326.1992"
"Augenschutz: Beim Umfüllen Schutzbrille empfehlenswert.","92.51999","3077.039"
Auskunftgebender Bereich:,"78.359436","470.87918"
Aussehen:,"92.51946","3178.319"
BGW,"69.71947","2701.0793"
"Behälter dicht geschlossen halten.","69.71947","2069.559"
"Bei Allergien gegen Decansäure und/oder Geraniol, nicht verwenden.","112.19995","6365.8394"
"Bei der Arbeit nicht essen und trinken.","98.03945","2882.1592"
Bei unzureichender Belüftung und längerer Exposition empfehlen wir einen Atemschutz mit Filtertyp,"98.03946","2906.039"
Bemerkungen:,"106.679955","5638.679"
Bemerkungen:,"106.679955","5669.879"
"Berührung mit den Augen und der Haut vermeiden.","98.03945","2871.1191"
"Beschreibung: Gemisch aus nachfolgend angeführten Stoffen mit ungefährlichen Beimengungen.","78.35947","1121.1193"
"Beschwerden Arzt konsultieren.","83.87945","1337.2391"
Besondere Gefahrenhinweise für Mensch und Umwelt:,"78.3595","709.91907"
"Besondere Schutzausrüstung: Keine besonderen Maßnahmen erforderlich.","78.35997","1521.199"
"Bestandteile mit arbeitsplatzbezogenen, zu überwachenden Grenzwerten:","78.35947","2310.3992"
Bestandteile mit biologischen Grenzwerten:,"106.679955","2671.6792"
"Biozid.","83.87946","299.87927"
C M R - W i r k u n g e n,"92.51946","4490.4395"
CAS: 56-81-5 Glycerin,"69.71947","2326.3591"
CAS: 67-63-0,"69.71947","1152.3192"
CAS: 67-63-0 Isopropylalkohol,"69.71947","2364.999"
CAS: 67-63-0 Isopropylalkohol,"69.71947","2687.6392"
CAS: Chemical Abstracts Service (division of the American Chemical Society),"98.03948","6527.2393"
Charakteristisch,"320.15988","3218.6392"
Concerning the International Transport of Dangerous Goods by Rail),"98.03945","6428.2393"
D - 68723 Oftersheim,"83.87946","399.1192"
DE,"536.99976","763.91943"
DE,"536.99976","1533.0791"
DE,"536.99976","2411.319"
DE,"536.99976","3274.4395"
DE,"536.99976","4090.279"
DE,"536.99976","4956.2793"
DE,"536.99976","5705.639"
DE,"536.99976","6630.799"
"DFG, Y","122.017494","2350.839"
"DFG, Y","122.017494","2389.479"
Dampfdichte,"92.519966","3758.7192"
Dampfdruck bei 20 °C:,"78.35947","3714.6792"
Das Handschuhmaterial muss undurchlässig und beständig gegen das Produkt / den Stoff / die,"98.03946","2940.9592"
"Das Produkt enthält nachweislich keine organisch gebundenen Halogenverbindungen (AOX), Nitrate,","69.71947","997.7593"
Das Produkt erfüllt die die Kriterien der EU Biozidprodukte-Richtlinie 98/8/EG sowie der Biozid,"83.87946","733.7991"
"Das Produkt ist gemäß CLP-Verordnung nicht eingestuft.","83.87946","594.23914"
"Das Produkt ist nicht explosionsgefährlich.","305.99988","3654.079"
"Das Produkt ist nicht selbstentzündlich.","305.99988","3635.7192"
Datenblatt ausstellender Bereich: Abteilung Produktsicherheit,"78.359955","6382.399"
"Der Wortlaut der angeführten Gefahrenhinweise ist dem Abschnitt 16 zu entnehmen.","83.87946","1201.0392"
Dichte bei 20 °C:,"78.35947","3733.0393"
"Die Angaben stützen sich auf den heutigen Stand unserer Kenntnisse, sie stellen jedoch keine Zusicherung","69.71947","6279.439"
"Die Auswahl eines geeigneten Handschuhs ist nicht nur vom Material, sondern auch von weiteren","112.19995","2975.8792"
"Die genaue Durchbruchzeit ist beim Schutzhandschuhhersteller zu erfahren und einzuhalten.","112.19995","3032.8792"
Die notwendige Durchbruchzeit die ein Schutzhandschuh aufweisen sollte ist unter anderem sehr,"112.19995","3043.9192"
"Die üblichen Vorsichtsmaßnahmen beim Umgang mit Chemikalien sind zu beachten.","98.03946","2860.079"
"Dienstleistungen, Handwerk)","83.87945","275.9992"
"Druckdatum: 27.02.2018","434.87982","53.759277"
"Druckdatum: 27.02.2018","434.87982","895.7593"
"Druckdatum: 27.02.2018","434.87982","1737.7593"
"Druckdatum: 27.02.2018","434.87982","2579.7593"
"Druckdatum: 27.02.2018","434.87982","3421.7593"
"Druckdatum: 27.02.2018","434.87982","4263.7593"
"Druckdatum: 27.02.2018","434.87982","5105.7593"
"Druckdatum: 27.02.2018","434.87982","5947.7593"
Durchdringungszeit des Handschuhmaterials,"106.67993","3020.039"
Dynamisch:,"106.31946","3853.7593"
EINECS: 200-661-7,"69.71947","1163.3591"
EINECS: European Inventory of Existing Commercial Chemical Substances,"98.03948","6509.2393"
ELINCS: European List of Notified Chemical Substances,"98.03948","6518.2393"
"Einstufung gemäß Verordnung (EG) Nr. 1272/2008","78.35947","581.3991"
"Email: info@kuk-schuster.de","83.87946","443.27917"
"Empfehlung: Entsorgung gemäß den behördlichen Vorschriften.","92.51946","5295.119"
"Empfehlung: Kleinere Mengen können gemeinsam mit Hausmüll deponiert werden.","78.35947","4935.399"
Empfohlene Einschränkung der Anwendung,"106.67995","6352.999"
Empfohlene Lagertemperatur: 20 °C,"106.67996","2150.319"
"Enthält Geraniol. Kann allergische Reaktionen hervorrufen.","83.87948","698.879"
"Entspricht der Biozid Produkte Richtlinie (Verordnung (EU) Nr. 528/2012).","83.87946","687.83905"
"Entzündbarkeit (fest, gasförmig):","78.35947","3578.8394"
Ergebnisse der PBT- und vPvB-Beurteilung,"78.35947","1019.83923"
"Es werden keine gefährlichen Stoffe freigesetzt.","69.71947","1951.5992"
Europäisches Abfallverzeichnis,"78.35947","5197.679"
Explosionsgrenzen:,"78.35947","3670.6392"
Explosive Eigenschaften:,"78.35947","3652.2793"
"Eye Irrit. 2, H319","231.95992","1174.3992"
"Eye Irrit. 2: Schwere Augenschädigung/Augenreizung – Kategorie 2","98.03944","6599.2393"
Farbe:,"106.67996","3203.999"
Fax: 06202 / 85 932 - 29,"83.87946","432.2392"
"Flam. Liq. 2, H225","231.95992","1164.6792"
"Flam. Liq. 2: Entzündbare Flüssigkeiten – Kategorie 2","98.03945","6590.2393"
Flammpunkt:,"78.35947","3560.4792"
Flüssig,"334.31985","3192.959"
Form:,"106.679955","3191.1592"
GETRENNT GESAMMELTER FRAKTIONEN,"117.71947","5235.3594"
GHS: Globally Harmonised System of Classification and Labelling of Chemicals,"98.03947","6500.2393"
"Geeignete Löschmittel: Feuerlöschmaßnahmen auf die Umgebung abstimmen.","78.35947","1471.6392"
"GefStoffV: Gefahrstoffverordnung (Ordinance on Hazardous Substances, Germany)","98.03948","6536.2393"
Gefahrenhinweise entfällt,"92.51996","662.15906"
Gefahrenpiktogramme entfällt,"92.51998","636.47906"
Gefährliche Inhaltsstoffe:,"78.35947","1136.7192"
Gemäß Produktbezeichnung,"334.31985","3205.799"
Geruch:,"92.519966","3216.839"
Geruchsschwelle:,"92.519966","3229.6792"
Getrennt gesammelte Fraktionen (außer 15 01),"117.71944","5249.159"
Gewerbepark Hardtwald 14,"83.87946","388.0792"
"H225 Flüssigkeit und Dampf leicht entzündbar.","112.19995","6319.8794"
"H319 Verursacht schwere Augenreizung.","112.19995","6330.919"
"H336 Kann Schläfrigkeit und Benommenheit verursachen.","112.19995","6341.959"
Handelsname: Marder-Abwehr-Spray,"78.35947","157.67932"
Handelsname: Marder-Abwehr-Spray,"50.759987","942.1992"
Handelsname: Marder-Abwehr-Spray,"50.759987","1784.1992"
Handelsname: Marder-Abwehr-Spray,"50.759987","2626.1992"
Handelsname: Marder-Abwehr-Spray,"50.759987","3468.1992"
Handelsname: Marder-Abwehr-Spray,"50.759987","4310.199"
Handelsname: Marder-Abwehr-Spray,"50.759987","5152.199"
Handelsname: Marder-Abwehr-Spray,"50.759987","5994.199"
Handschuhmaterial,"106.67944","2963.0393"
Handschutz:,"92.51947","2928.1191"
Hersteller/Lieferant:,"78.35947","364.19922"
"Hinweise zum Brand- und Explosionsschutz: Keine besonderen Maßnahmen erforderlich.","78.35947","2080.599"
IATA,"92.51946","5657.039"
IATA-DGR: Dangerous Goods Regulations by the International Air Transport Association (IATA),"98.03944","6437.2393"
IATA: International Air Transport Association,"98.03947","6491.2393"
ICAO-TI: Technical Instructions by the International Civil Aviation Organisation (ICAO),"98.03945","6455.2393"
ICAO: International Civil Aviation Organisation,"98.03945","6446.2393"
II des MARPOL-Übereinkommens und,"69.71947","5577.719"
IMDG: International Maritime Code for Dangerous Goods,"98.03945","6482.2393"
"INDUSTRIELLE ABFÄLLE SOWIE ABFÄLLE AUS EINRICHTUNGEN), EINSCHLIESSLICH","117.71947","5224.3193"
"Informationen zur Entsorgung siehe Abschnitt 13.","69.7195","1984.7192"
"Informationen zur persönlichen Schutzausrüstung siehe Abschnitt 8.","69.71948","1973.6792"
"Informationen zur sicheren Handhabung siehe Abschnitt 7.","69.71947","1962.6392"
International Carriage of Dangerous Goods by Road),"98.03945","6473.2393"
Isopropylalkohol,"220.9194","1152.3192"
K&K Handelsgesellschaft mbH,"83.87946","377.03918"
"Kanalisation gelangen lassen.","98.03948","4810.2393"
"Karzinogenität Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","106.67995","4539.999"
Keimzell-Mutagenität,"106.679955","4516.119"
"Keine Zersetzung bei bestimmungsgemäßer Verwendung.","83.87946","4028.839"
"Keine besonderen Maßnahmen erforderlich.","69.71947","2058.5193"
"Keine besonderen Maßnahmen notwendig.","69.71947","1879.9592"
"Keine weiteren Angaben, siehe Abschnitt 7.","83.87946","2278.2393"
"Keine weiteren relevanten Informationen verfügbar.","69.71947","1373.9591"
"Keine weiteren relevanten Informationen verfügbar.","69.71947","1397.8391"
"Keine weiteren relevanten Informationen verfügbar.","69.71947","1497.3191"
"Keine weiteren relevanten Informationen verfügbar.","291.83987","3923.839"
"Keiner der Inhaltsstoffe ist enthalten.","98.03946","6121.159"
"Kennzeichnung gemäß Verordnung (EG) Nr. 1272/2008 entfällt","78.35947","623.6391"
Kinematisch:,"106.319954","3866.599"
Klasse,"92.51946","5451.479"
Klasse,"75.23947","6173.119"
Klassifizierung nach Betriebssicherheitsverordnung (BetrSichV): -,"106.679955","2175.999"
Körperschutz: Arbeitsschutzkleidung,"92.51996","3089.8792"
Lagerklasse:,"92.519966","2163.1592"
Lagerung:,"78.35947","2111.7993"
Langzeitwert: 200 E mg/m³,"99.59946","2339.799"
"Langzeitwert: 500 mg/m³, 200 ml/m³","99.59946","2378.439"
Lösemittelgehalt:,"78.35947","3883.519"
Löslichkeit in / Mischbarkeit mit,"78.35947","3789.9192"
Marine pollutant:,"78.35947","5513.879"
"Mit flüssigkeitsbindendem Material (Sand, Kieselgur, Säurebinder, Universalbinder, Sägemehl) aufnehmen.","69.71947","1927.7192"
NK,"86.15946","6188.719"
Nach Augenkontakt:,"78.35997","1313.3591"
"Nach Einatmen: Frischluftzufuhr, bei Beschwerden Arzt aufsuchen.","78.359955","1287.6792"
"Nach Hautkontakt: Im allgemeinen ist das Produkt nicht hautreizend.","78.35996","1300.5192"
"Nach Verschlucken: Mund ausspülen und reichlich Wasser nachtrinken.","78.35946","1348.2792"
Namentlich aufgeführte gefährliche Stoffe - ANHANG I,"92.51946","6108.3193"
Nationale Vorschriften:,"78.35947","6137.719"
Nein,"316.07986","5515.679"
"Nicht anwendbar.","305.99988","3562.2793"
"Nicht anwendbar.","305.99988","3580.6392"
"Nicht anwendbar.","301.9199","5359.679"
"Nicht anwendbar.","301.9199","5546.879"
"Nicht anwendbar.","301.9199","5590.919"
"Nicht bestimmt.","320.15988","3231.479"
"Nicht bestimmt.","320.15988","3617.3594"
"Nicht bestimmt.","320.15988","3685.2793"
"Nicht bestimmt.","320.15988","3698.1191"
"Nicht bestimmt.","320.15988","3747.6792"
"Nicht bestimmt.","320.15988","3760.5193"
"Nicht bestimmt.","320.15988","3773.3591"
"Nicht bestimmt.","320.15988","3854.1191"
"Nicht bestimmt.","320.15988","3866.9592"
"Nicht in das Grundwasser, in Gewässer oder in die Kanalisation gelangen lassen.","98.03947","4788.159"
"Nicht in die Kanalisation/Oberflächenwasser/Grundwasser gelangen lassen.","69.71947","1903.8392"
