content,x,y
(Aquatic Chronic 2),"69.897","667.971"
(Aquatic Chronic 2),"69.897","7067.022"
"(Eye Dam. 1)","69.897","646.671"
"(Eye Dam. 1)","69.897","7045.7217"
"(Flam. Liq. 3)","69.897","561.471"
"(Flam. Liq. 3)","69.897","6960.522"
(LQ): 5 l,"64.327995","6209.4165"
"(Skin Irrit. 2)","69.897","604.071"
"(Skin Irrit. 2)","69.897","7003.122"
(maximale Tragedauer) min Bei beabsichtigter Wiederverwendung Handschuhe vor dem Ausziehen,"70.298","3726.749"
01-2119493353-35,"69.897","1942.4209"
"1,1 mm²/s","217.365","4418.989"
"1.1. Produktidentifikator","64.629","191.34998"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder Gemischs und","64.629","238.69397"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.629","291.04596"
"1.4. Notrufnummer","64.629","438.09"
"10.1. Reaktivität","64.629","4488.1836"
"10.2. Chemische Stabilität","64.629","4515.528"
"10.3. Möglichkeit gefährlicher Reaktionen","64.629","4542.872"
"10.4. Zu vermeidende Bedingungen","64.629","4570.216"
"10.5. Unverträgliche Materialien","64.629","4597.5596"
"10.6. Gefährliche Zersetzungsprodukte","64.629","4624.904"
"11.1. Angaben zu toxikologischen Wirkungen","64.629","4675.588"
"12.1. Toxizität","64.629","5256.115"
"12.2. Persistenz und Abbaubarkeit","64.629","5296.059"
"12.3. Bioakkumulationspotenzial","64.629","5370.967"
"12.4. Mobilität im Boden","64.629","5398.311"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","64.629","5425.655"
"12.6. Andere schädliche Wirkungen","64.629","5481.363"
"13.1. Verfahren der Abfallbehandlung","64.629","5532.047"
"13.2. Zusätzliche Angaben","64.629","5621.191"
"14.1. UN-Nr.","64.327995","5701.675"
"14.2. Ordnungsgemäße UN-Versandbezeichnung","64.327995","5733.619"
"14.3. Transportgefahrenklassen","64.327995","5769.343"
"14.4. Verpackungsgruppe","64.327995","6078.364"
"14.5. Umweltgefahren","64.327995","6110.3076"
"14.6. Besondere Vorsichtsmaßnahmen für den Verwender","64.327995","6170.6606"
"14.7. Massengutbeförderung gemäß Anhang II des MARPOL-Übereinkommens","64.629","6311.8687"
"15,0 % Prozent des Gemisches bestehen aus Bestandteilen mit unbekannter Gewässergefährdung.","70.298","1464.319"
"15.1. Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.629","6374.9604"
"15.1.1. EU-Vorschriften","64.629","6402.485"
"15.1.2. Nationale Vorschriften","64.629","6428.2847"
"15.2. Stoffsicherheitsbeurteilung","64.629","6499.923"
"15.3. Zusätzliche Angaben","64.629","6527.2666"
"16.1. Änderungshinweise","64.629","6577.9507"
"16.2. Abkürzungen und Akronyme","64.629","6605.295"
"16.3. Wichtige Literaturangaben und Datenquellen","64.629","6632.6387"
"16.4. Einstufung von Gemischen und verwendete Bewertungsmethode gemäß","64.629","6890.817"
"16.5. Wortlaut der R-, H- und EUH-Sätze (Nummer und Volltext)","64.629","7085.5327"
"16.6. Schulungshinweise","64.629","7200.541"
"16.7. Zusätzliche Hinweise","64.629","7227.885"
175 – 200 °C,"217.365","3998.526"
"2.1. Einstufung des Stoffs oder Gemischs","64.629","504.17398"
"2.2. Kennzeichnungselemente","64.629","997.594"
"2.3. Sonstige Gefahren","64.629","1503.8069"
26183-52-8,"69.897","5352.456"
26183-52-8,"69.897","5462.852"
3,"83.289","5813.681"
3 - stark wassergefährdend,"70.298","6483.8345"
"3.2. Gemische","64.629","1861.124"
36 – 60,"471.36798","1908.821"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","64.629","2026.1079"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.629","2280.252"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.629","2318.396"
40 °C,"295.32797","4418.989"
"5.1. Löschmittel","64.629","2369.08"
"5.2. Besondere vom Stoff oder Gemisch ausgehende Gefahren","64.629","2432.4238"
"5.3. Hinweise für die Brandbekämpfung","64.629","2681.372"
"5.4. Zusätzliche Hinweise","64.629","2708.716"
52 °C,"217.365","4021.9258"
"6.1. Personenbezogene Vorsichtsmaßnahmen, Schutzausrüstungen und in","64.629","2770.2"
