content,x,y
"(Acute Tox. 3)","69.897","513.671"
"(Acute Tox. 3)","69.897","6309.6055"
(Aquatic Acute 1),"69.897","567.971"
(Aquatic Acute 1),"69.897","6363.906"
(Aquatic Chronic 1),"69.897","589.271"
(Aquatic Chronic 1),"69.897","6385.2056"
"(Eye Dam. 1)","69.897","492.371"
"(Eye Dam. 1)","69.897","6288.3057"
(Herkunfts-,"69.897","2951.294"
(Herkunfts-,"69.897","3141.062"
(IMDG),"304.172","4923.4336"
(IMDG),"304.172","5218.087"
(LQ): 1 L,"64.327995","5486.335"
(LQ): 1 L,"304.172","5498.935"
(LQ): 1 L,"184.125","5509.735"
"(Skin Corr. 1B)","69.897","449.771"
"(Skin Corr. 1B)","69.897","6245.7056"
"(Skin Sens. 1)","69.897","471.07098"
"(Skin Sens. 1)","69.897","6267.006"
(maximale Tragedauer) min Bei beabsichtigter Wiederverwendung Handschuhe vor dem Ausziehen,"70.298","3622.117"
"1.1. Produktidentifikator","64.629","191.34998"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder Gemischs und","64.629","238.69397"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.629","291.04596"
"1.4. Notrufnummer","64.629","318.39"
"10.1. Reaktivität","64.629","3841.7249"
"10.2. Chemische Stabilität","64.629","3869.0688"
"10.3. Möglichkeit gefährlicher Reaktionen","64.629","3896.4128"
"10.4. Zu vermeidende Bedingungen","64.629","3923.7568"
"10.5. Unverträgliche Materialien","64.629","3951.1008"
"10.6. Gefährliche Zersetzungsprodukte","64.629","3978.4448"
"11.1. Angaben zu toxikologischen Wirkungen","64.629","4029.129"
12 – ≤ 20,"471.36798","1385.9089"
"12.1. Toxizität","64.629","4578.026"
"12.2. Persistenz und Abbaubarkeit","64.629","4617.9697"
"12.3. Bioakkumulationspotenzial","64.629","4645.314"
"12.4. Mobilität im Boden","64.629","4672.6577"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","64.629","4700.002"
"12.6. Andere schädliche Wirkungen","64.629","4755.71"
"13.1. Verfahren der Abfallbehandlung","64.629","4806.3936"
"13.2. Zusätzliche Angaben","64.629","4861.338"
"14.1. UN-Nr.","64.327995","4941.822"
"14.2. Ordnungsgemäße UN-Versandbezeichnung","64.327995","5236.475"
"14.3. Transportgefahrenklassen","64.327995","5290.019"
"14.4. Verpackungsgruppe","64.327995","5359.127"
"14.5. Umweltgefahren","64.327995","5391.071"
"14.6. Besondere Vorsichtsmaßnahmen für den Verwender","64.327995","5460.179"
"14.7. Massengutbeförderung gemäß Anhang II des MARPOL-Übereinkommens","64.629","5576.187"
"15.1. Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.629","5639.279"
"15.1.1. EU-Vorschriften","64.629","5666.8027"
"15.1.2. Nationale Vorschriften","64.629","5692.603"
"15.2. Stoffsicherheitsbeurteilung","64.629","5764.241"
"15.3. Zusätzliche Angaben","64.629","5791.585"
"16.1. Änderungshinweise","64.629","6070.569"
"16.2. Abkürzungen und Akronyme","64.629","6097.9126"
"16.3. Wichtige Literaturangaben und Datenquellen","64.629","6125.257"
"16.4. Einstufung von Gemischen und verwendete Bewertungsmethode gemäß","64.629","6152.6006"
"16.5. Wortlaut der R-, H- und EUH-Sätze (Nummer und Volltext)","64.629","6403.717"
"16.6. Schulungshinweise","64.629","6565.5244"
"16.7. Zusätzliche Hinweise","64.629","6592.8687"
"2.1. Einstufung des Stoffs oder Gemischs","64.629","369.07397"
"2.2. Kennzeichnungselemente","64.629","607.782"
"2.3. Sonstige Gefahren","64.629","1225.58"
"20,0 % Prozent des Gemisches bestehen aus einem oder mehreren Bestandteilen von unbekannter","70.298","1155.492"
"20,0 % Prozent des Gemisches bestehen aus einem oder mehreren Bestandteilen von unbekannter","70.298","1177.092"
"20,0 % Prozent des Gemisches bestehen aus einem oder mehreren Bestandteilen von unbekannter","70.298","1198.6919"
24 – ≤ 40,"471.36798","1323.9609"
25 mg/L,"280.16797","3183.0059"
25 mg/L,"280.16797","3221.814"
3 - stark wassergefährdend,"70.298","5748.153"
"3.2. Gemische","64.629","1276.2639"
302-01-2,"69.897","4725.499"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","64.629","1461.104"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.629","1942.6189"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.629","1980.763"
"5.1. Löschmittel","64.629","2031.447"
"5.2. Besondere vom Stoff oder Gemisch ausgehende Gefahren","64.629","2071.3909"
"5.3. Hinweise für die Brandbekämpfung","64.629","2122.135"
"5.4. Zusätzliche Hinweise","64.629","2149.479"
"6.1","115.709","5334.358"
"6.1","235.63101","5334.439"
"6.1","355.678","5334.439"
"6.1","475.59998","5334.358"
"6.1. Personenbezogene Vorsichtsmaßnahmen, Schutzausrüstungen und in","64.629","2210.963"
"6.1.1. Nicht für Notfälle geschultes Personal","64.629","2238.4868"
"6.1.2. Einsatzkräfte","64.629","2300.287"
"6.2. Umweltschutzmaßnahmen","64.629","2340.115"
"6.3. Methoden und Material für Rückhaltung und Reinigung","64.629","2367.459"
"6.4. Verweis auf andere Abschnitte","64.629","2394.803"
"6.5. Zusätzliche Hinweise","64.629","2432.947"
67-63-0,"69.897","4737.1987"
"7.1. Schutzmaßnahmen zur sicheren Handhabung","64.629","2703.013"
"7.2. Bedingungen zur sicheren Lagerung unter Berücksichtigung von","64.629","2783.757"
"7.3. Spezifische Endanwendungen","64.629","2848.709"
73/78 und gemäß IBC-Code,"64.629","5588.5947"
8,"83.289","5334.358"
8,"203.12701","5334.439"
8,"323.174","5334.439"
8,"443.18","5334.358"
"8.1. Zu überwachende Parameter","64.629","2913.397"
"8.1.1. Arbeitsplatzgrenzwerte","64.629","2928.513"
"8.1.2. Biologische Grenzwerte","64.629","3118.281"
"8.1.3. DNEL-/PNEC-Werte","64.629","3267.141"
"8.2. Begrenzung und Überwachung der Exposition","64.629","3523.261"
"8.2.1. Geeignete technische Steuerungseinrichtungen","64.629","3538.377"
"8.2.2. Persönliche Schutzausrüstung","64.629","3564.1768"
"8.2.3. Begrenzung und Überwachung der Umweltexposition","64.629","3647.577"
"8.3. Zusätzliche Hinweise","64.629","3674.805"
802,"184.125","5486.335"
"9.1. Angaben zu den grundlegenden physikalischen und chemischen","64.629","3725.4888"
"9.2. Sonstige Angaben","64.629","3791.041"
A3,"424.219","5486.335"
ABSCHNITT 10: Stabilität und Reaktivität,"64.629","3823.561"
ABSCHNITT 11: Toxikologische Angaben,"64.629","4010.9648"
ABSCHNITT 12: Umweltbezogene Angaben,"64.629","4559.862"
ABSCHNITT 13: Hinweise zur Entsorgung,"64.629","4788.23"
