content,x,y
,"102.0","637.92"
,"447.12","1307.76"
,"445.68","1405.6799"
" Aquatic Chronic 1,","333.0982","1381.2"
" Eye Irrit. 2, H319","274.5631","1281.84"
" Eye Irrit. 2, H319","274.5631","1342.32"
" Eye Irrit. 2, H319","270.19513","1428.72"
 OECD 203)),"292.60638","6265.1997"
" Skin Irrit. 2,","353.1655","1271.76"
" Skin Irrit. 2,","353.1655","1332.24"
" Skin Irrit. 2,","353.1655","1418.64"
" Skin Sens. 1,","363.49783","1281.84"
" Skin Sens. 1,","363.49783","1342.32"
" Skin Sens. 1,","361.50104","1428.72"
"( k r e b s e r z e u g e n d e,","217.92","5592.96"
(Fortsetzung auf Seite 10),"423.59998","7441.2"
(Fortsetzung auf Seite 11),"423.59998","8329.44"
(Fortsetzung auf Seite 2),"427.91998","762.95996"
(Fortsetzung auf Seite 3),"427.91998","1597.44"
(Fortsetzung auf Seite 4),"427.91998","2444.88"
(Fortsetzung auf Seite 5),"427.91998","3244.08"
(Fortsetzung auf Seite 6),"427.91998","4104.0"
(Fortsetzung auf Seite 7),"427.91998","4946.4"
(Fortsetzung auf Seite 8),"427.91998","5752.56"
(Fortsetzung auf Seite 9),"427.91998","6655.6797"
(Fortsetzung von Seite 1),"426.71997","971.04"
(Fortsetzung von Seite 10),"422.4","8546.16"
(Fortsetzung von Seite 2),"426.71997","1812.72"
(Fortsetzung von Seite 3),"426.71997","2654.4"
(Fortsetzung von Seite 4),"426.71997","3496.08"
(Fortsetzung von Seite 5),"426.71997","4337.76"
(Fortsetzung von Seite 6),"426.71997","5179.44"
(Fortsetzung von Seite 7),"426.71997","6015.5996"
(Fortsetzung von Seite 8),"426.71997","6862.8"
(Fortsetzung von Seite 9),"426.71997","7704.48"
"(JArbSchG) sind zu beachten.","102.0","8093.04"
"/ nationalen/ internationalen Vorschriften.","186.71999","1062.48"
"0,0 %","304.31998","4722.96"
"0,013 mg/l (daphnia magna) ((OECD 202, part 2))","179.28","3162.24"
"0,15 mg/l","179.28","3191.04"
