content,x,y
"(94/33/EG) beachten.","70.298","5495.451"
"(EG) Nr. 1272/2008 [CLP]","64.629","6009.34"
"(Eye Dam. 1)","69.897","598.777"
"(Eye Dam. 1)","69.897","6087.4805"
(Herkunfts-,"69.897","2747.825"
"(Skin Irrit. 2)","69.897","577.4769"
"(Skin Irrit. 2)","69.897","6066.1807"
* Daten gegenüber der Vorversion geändert,"70.298","5685.699"
1 - schwach wassergefährdend,"70.298","5556.499"
1 mg/m³,"280.16797","2985.601"
"1.1. Produktidentifikator","64.629","200.93597"
"1.2. Relevante identifizierte Verwendungen des Stoffs oder Gemischs und Verwendungen, von","64.629","266.53595"
"1.3. Einzelheiten zum Lieferanten, der das Sicherheitsdatenblatt bereitstellt","64.629","315.136"
"1.4. Notrufnummer","64.629","460.03598"
"10.1. Reaktivität","64.629","3788.473"
"10.2. Chemische Stabilität","64.629","3813.6729"
"10.3. Möglichkeit gefährlicher Reaktionen","64.629","3849.6729"
"10.4. Zu vermeidende Bedingungen","64.629","3874.8728"
"10.5. Unverträgliche Materialien","64.629","3900.0728"
"10.6. Gefährliche Zersetzungsprodukte","64.629","3925.273"
"11.1. Angaben zu toxikologischen Wirkungen","64.629","3981.273"
"12,6","217.365","3519.514"
"12.1. Toxizität","64.629","4547.1616"
"12.2. Persistenz und Abbaubarkeit","64.629","4665.4536"
"12.3. Bioakkumulationspotenzial","64.629","4703.254"
"12.4. Mobilität im Boden","64.629","4728.4536"
"12.5. Ergebnisse der PBT- und vPvB-Beurteilung","64.629","4753.654"
"12.6. Andere schädliche Wirkungen","64.629","4805.654"
"13.1. Verfahren der Abfallbehandlung","64.629","4850.854"
"13.2. Zusätzliche Angaben","64.629","4958.254"
1305-62-0,"69.897","4006.314"
1305-62-0,"69.897","4572.2026"
1305-62-0,"69.897","4778.695"
"14.1. UN-Nr.","66.029","5193.751"
"14.2. Ordnungsgemäße UN-Versandbezeichnung","66.029","5223.551"
"14.3. Transportgefahrenklassen","66.029","5253.351"
"14.4. Verpackungsgruppe","66.029","5283.151"
"14.5. Umweltgefahren","66.029","5312.951"
"14.6. Besondere Vorsichtsmaßnahmen für den Verwender","66.029","5342.751"
"14.7. Massengutbeförderung gemäß Anhang II des MARPOL-Übereinkommens 73/78 und","64.629","5371.651"
"15.1. Vorschriften zu Sicherheit, Gesundheits- und Umweltschutz/spezifische","64.629","5427.651"
"15.1.1. EU-Vorschriften","64.629","5450.792"
"15.1.2. Nationale Vorschriften","64.629","5507.792"
"15.2. Stoffsicherheitsbeurteilung","64.629","5604.499"
"15.3. Zusätzliche Angaben","64.629","5629.699"
"16.1. Änderungshinweise","64.629","5674.899"
"16.2. Abkürzungen und Akronyme","64.629","5700.099"
"16.3. Wichtige Literaturangaben und Datenquellen","64.629","5725.299"
"16.4. Einstufung von Gemischen und verwendete Bewertungsmethode gemäß Verordnung","64.629","5998.5396"
"16.5. Wortlaut der R-, H- und EUH-Sätze (Nummer und Volltext)","64.629","6126.1396"
"16.6. Schulungshinweise","64.629","6192.7397"
"16.7. Zusätzliche Hinweise","64.629","6217.9395"
"2.1. Einstufung des Stoffs oder Gemischs","64.629","520.636"
"2.2. Kennzeichnungselemente","64.629","637.436"
"2.3. Sonstige Gefahren","64.629","1147.006"
20 °C,"295.32797","3519.514"
20 °C,"295.32797","3657.814"
"3.2. Gemische","64.629","1204.8059"
36 – 60,"471.36798","1252.0469"
4 mg/m³,"280.16797","2959.029"
4-210,"70.298","252.13599"
"4.1. Beschreibung der Erste-Hilfe-Maßnahmen","64.629","1312.614"
"4.2. Wichtigste akute und verzögert auftretende Symptome und Wirkungen","64.629","1510.614"
"4.3. Hinweise auf ärztliche Soforthilfe oder Spezialbehandlung","64.629","1535.814"
40 °C,"295.32797","3725.9138"
402,"335.378","4019.2869"
"5.1. Löschmittel","64.629","1581.0139"
"5.2. Besondere vom Stoff oder Gemisch ausgehende Gefahren","64.629","1814.2949"
"5.3. Hinweise für die Brandbekämpfung","64.629","1862.895"
"5.4. Zusätzliche Hinweise","64.629","1888.095"
58513 Lüdenscheid,"70.298","371.83597"
"6.1. Personenbezogene Vorsichtsmaßnahmen, Schutzausrüstungen und in Notfällen","64.629","1944.095"
"6.1.1. Nicht für Notfälle geschultes Personal","64.629","1967.2358"
"6.1.2. Einsatzkräfte","64.629","2026.0359"
"6.2. Umweltschutzmaßnahmen","64.629","2063.4949"
"6.3. Methoden und Material für Rückhaltung und Reinigung","64.629","2099.4949"
"6.4. Verweis auf andere Abschnitte","64.629","2160.6948"
"6.5. Zusätzliche Hinweise","64.629","2196.6948"
"7.1. Schutzmaßnahmen zur sicheren Handhabung","64.629","2241.895"
"7.2. Bedingungen zur sicheren Lagerung unter Berücksichtigung von Unverträglichkeiten","64.629","2395.4949"
"7.3. Spezifische Endanwendungen","64.629","2656.184"
"8.1. Zu überwachende Parameter","64.629","2713.384"
"8.1.1. Arbeitsplatzgrenzwerte","64.629","2725.725"
"8.1.2. Biologische Grenzwerte","64.629","2884.421"
"8.1.3. DNEL-/PNEC-Werte","64.629","2907.221"
"8.2. Begrenzung und Überwachung der Exposition","64.629","3030.0679"
"8.2.1. Geeignete technische Steuerungseinrichtungen","64.629","3042.409"
"8.2.2. Persönliche Schutzausrüstung","64.629","3065.209"
"8.2.3. Begrenzung und Überwachung der Umweltexposition","64.629","3203.209"
"8.3. Zusätzliche Hinweise","64.629","3238.868"
"9.1. Angaben zu den grundlegenden physikalischen und chemischen Eigenschaften","64.629","3284.0679"
"9.2. Sonstige Angaben","64.629","3743.273"
"= 1,3 g/cm³","217.365","3657.814"
ABSCHNITT 10: Stabilität und Reaktivität,"64.629","3772.733"
ABSCHNITT 11: Toxikologische Angaben,"64.629","3965.5327"
ABSCHNITT 12: Umweltbezogene Angaben,"64.629","4531.422"
ABSCHNITT 13: Hinweise zur Entsorgung,"64.629","4835.114"
ABSCHNITT 14: Angaben zum Transport,"64.629","5159.5107"
ABSCHNITT 15: Rechtsvorschriften,"64.629","5411.911"
ABSCHNITT 16: Sonstige Angaben,"64.629","5659.159"
ABSCHNITT 1: Bezeichnung des Stoffs beziehungsweise des Gemischs und des,"64.629","173.19598"
ABSCHNITT 2: Mögliche Gefahren,"64.629","504.89597"
ABSCHNITT 3: Zusammensetzung / Angaben zu Bestandteilen,"64.629","1189.0659"
ABSCHNITT 4: Erste-Hilfe-Maßnahmen,"64.629","1296.874"
ABSCHNITT 5: Maßnahmen zur Brandbekämpfung,"64.629","1565.2739"
ABSCHNITT 6: Maßnahmen bei unbeabsichtigter Freisetzung,"64.629","1928.355"
ABSCHNITT 7: Handhabung und Lagerung,"64.629","2226.1548"
ABSCHNITT 8: Begrenzung und Überwachung der Exposition/Persönliche,"64.629","2685.644"
ABSCHNITT 9: Physikalische und chemische Eigenschaften,"64.629","3268.328"
Abfallbehandlungslösungen,"64.629","4873.9946"
Aggregatzustand: Flüssig,"71.999","3306.868"
Akute dermale Toxizität:,"64.629","4073.0188"
Akute inhalative Toxizität:,"64.629","4096.419"
Akute orale Toxizität:,"64.629","4049.619"
Allgemeine Angaben:,"64.629","1325.214"
Andere Entsorgungsempfehlungen:,"64.629","4933.0537"
Anforderungen an Lagerräume und Behälter:,"64.629","2454.895"
Anstrichmittel,"70.298","300.73596"
Anwendungstechnik,"70.298","350.23596"
"Artikel-Nr.:","64.629","241.336"
Aspirationsgefahr:,"64.629","4478.562"
Atemschutz ist erforderlich bei: Aerosol- oder Nebelbildung,"70.298","3167.468"
Atemschutz:,"64.629","3156.668"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","70.298","4372.362"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","70.298","4395.7617"
"Aufgrund der verfügbaren Daten sind die Einstufungskriterien nicht erfüllt.","70.298","4419.1616"
Augen-/Gesichtsschutz:,"64.629","3077.468"
"Augenarzt konsultieren.","70.298","1438.614"
"Aus dem Wasser schwer eliminierbar.","70.298","4688.854"
"Ausreichende Lagerraumbelüftung sicherstellen.","70.298","2334.895"
Ausrufezeichen,"177.90999","725.4459"
Aussehen,"64.629","3296.409"
"BEI BERÜHRUNG MIT DER HAUT: Mit viel Wasser und Seife waschen.","157.647","1084.947"
"BEI KONTAKT MIT DEN AUGEN: Einige Minuten lang behutsam mit Wasser spülen. Eventuell","157.647","1096.647"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","85.50299"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","927.39197"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","1769.281"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","2611.17"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","3453.0588"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","4294.9478"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","5136.837"
"Bearbeitungsdatum: 20.06.2016 Version: 1.0.0.1 Druckdatum: 07.03.2018","64.629","5978.7256"
"Behälter dicht geschlossen halten und an einem kühlen, gut gelüfteten Ort aufbewahren.","70.298","2418.895"
"Bei Augenkontakt die Augen bei geöffneten Lidern ausreichend lange mit Wasser spülen, dann sofort","70.298","1427.814"
"Bei Berührung mit der Haut sofort abwaschen mit viel Wasser und Seife. Bei Hautreizung oder -","70.298","1393.614"
Bei Hautkontakt:,"64.629","1382.814"
"Bei Hautreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.","157.647","1117.947"
"Bei bestimmungsgemäßer Handhabung und Lagerung treten keine gefährlichen Reaktionen auf.","70.298","3799.273"
"Bei der Arbeit geeignete Schutzkleidung, Schutzhandschuhe und Schutzbrille/Gesichtsschutz tragen.","70.298","3111.668"
"Bei der Arbeit nicht essen, trinken, rauchen. Kontakt mit Augen und Haut ist zu vermeiden.","70.298","2381.095"
Bemerkung,"403.043","3497.7139"
"Berufsgenossenschaftliche Regeln (BGR): 190, 192, 195","70.298","5590.099"
Beschäftigungsbeschränkungen nach der Mutterschutzrichtlinienverordnung (92/85/EWG) für werdende,"70.298","5473.851"
