content,x,y
 **einatembar,"198.13391","3627.3203"
" Aquatic Chronic 1, H410;","268.8818","1496.1201"
" STOT SE 3, H335","270.89532","1507.4001"
" bei intensiver bzw. längerer Exposition","331.7602","3804.4402"
(94/33/EG und 92/85/EWG),"105.59848","8703.44"
(Fortsetzung auf Seite 10),"413.8788","7468.36"
(Fortsetzung auf Seite 11),"413.8788","8287.2"
(Fortsetzung auf Seite 12),"413.8775","9137.24"
(Fortsetzung auf Seite 2),"417.95883","706.92004"
(Fortsetzung auf Seite 3),"417.95883","1561.76"
(Fortsetzung auf Seite 4),"417.95883","2386.0"
(Fortsetzung auf Seite 5),"417.95883","3223.08"
(Fortsetzung auf Seite 6),"417.95883","4072.8801"
(Fortsetzung auf Seite 7),"417.95883","4918.36"
(Fortsetzung auf Seite 8),"417.95883","5689.3203"
(Fortsetzung auf Seite 9),"417.95883","6598.04"
(Fortsetzung von Seite 1),"416.2788","962.7203"
(Fortsetzung von Seite 10),"412.19882","8540.721"
(Fortsetzung von Seite 11),"412.19882","9382.721"
(Fortsetzung von Seite 2),"416.2788","1804.7202"
(Fortsetzung von Seite 3),"416.2788","2641.0803"
(Fortsetzung von Seite 4),"416.2788","3483.0803"
(Fortsetzung von Seite 5),"416.2788","4330.72"
(Fortsetzung von Seite 6),"416.2788","5172.72"
(Fortsetzung von Seite 7),"416.2788","6009.08"
(Fortsetzung von Seite 8),"416.2788","6856.72"
(Fortsetzung von Seite 9),"416.2788","7698.72"
*,"68.39907","8790.08"
*alveolengängig,"131.63892","3627.3203"
"0,0 %","282.479","4824.7603"
"0,1 mg/l (Algen) (96h)","133.43896","6100.5205"
"0,33 mg/l (Daphnia) (48h)","133.43893","6128.6"
"1,3522 g/cm³","282.47836","4678.48"
1000 ml,"300.23938","7833.3604"
"1840 ZINKCHLORID, LÖSUNG","300.23895","6582.68"
23 hPa,"282.47836","4661.56"
25-50%,"461.8782","1473.56"
3,"300.23956","7737.6006"
350 mg/kg (Ratte),"176.75893","5370.9604"
"48.0.3","20.99909","787.7998"
"48.0.3","20.99909","1629.7998"
"48.0.3","20.99909","2471.7998"
"48.0.3","20.99909","3313.7998"
"48.0.3","20.99909","4155.8"
"48.0.3","20.99909","4997.8"
"48.0.3","20.99909","5839.8"
"48.0.3","20.99909","6681.8"
"48.0.3","20.99909","7523.8"
"48.0.3","20.99909","8365.8"
"48.0.3","20.99909","9207.8"
"48.0.3","20.99909","10049.8"
50-100%,"456.8384","1538.1201"
5L,"300.23895","7430.44"
5L,"300.23895","7776.96"
"65,0 %","282.479","4836.04"
7646-85-7 Zinkchlorid,"105.59895","3602.12"
7646-85-7 Zinkchlorid,"105.59895","5357.04"
7646-85-7 Zinkchlorid,"105.59895","6086.6"
8,"300.23938","7002.64"
8,"300.23938","7092.8804"
8,"300.23938","7183.12"
8 (C1) Ätzende Stoffe,"300.23895","6991.3604"
8 Ätzende Stoffe,"300.23895","7081.6"
8 Ätzende Stoffe,"300.23895","7171.8403"
80,"300.23938","7301.2"
A,"300.24066","7346.3203"
ABSCHNITT 10: Stabilität und Reaktivität,"105.59895","4888.36"
ABSCHNITT 11: Toxikologische Angaben,"105.59895","5286.24"
